Building Name,Address,Broker,Broker Phone
2423 Stelzer Road,"2423 Stelzer Road, Columbus, OH, 43219",Jean Whitaker-Gauerke,No Phone Number Available
Westside SFR Portfolio,"7212 Camden Ave, Cleveland, OH, 44102",Phil Rogers,440-572-3100
5832 N Meadows Boulevard,"5832 N Meadows Boulevard, Columbus, OH, 43229",Yair Swissa,614-362-4141
Professional Office Blding w/2 Rental Homes - Storage Units,"4268 Erie Ave SW, Navarre, OH, 44662",Joel Dutton,330-879-5000
COMPLETELY RENOVATED DUPLEX,"780 Seymour Ave, Columbus, OH, 43205",Antoine Matthews CCIM,614-348-7777
325 W Columbia Street,"325 W Columbia St, Springfield, OH, 45504",Al Fulk,937-360-6862
Riverview Apartments,"557 Riverview Dr, Columbus, OH, 43202",Alex Marsh,614-221-4286
Maple Ridge Townhomes,"1352 St Adalbert Ave, Dayton, OH, 45404",Conner Hardin,937-522-1462
617-629 Johnston Street,"617 Johnston St, Akron, OH, 44311","Jennifer Fernandez, CCIM, SIOR",330-940-9360
238 S Wayne Ave,"238 S Wayne Ave, Lockland, OH, 45215",Jonathan Hardy,513-888-1525
Turnkey Restaurant With Multifamily Units,"5379 St Clair Ave., Cleveland, OH, 44103",Cameron Callahan,216-232-4101
Glenmount Avenue,"2189-2211 Glenmount Ave, Akron, OH, 44319",James Haddox,330-573-3569
Former LMHA Headquarters,"1600-1604 Kansas Ave, Lorain, OH, 44052",Kevin Moss,216-363-6453
"Poland, OH Apartments","Massachusetts Ave, Poland, OH, 44514",Shea MacMillan,No Phone Number Available
Carolyn's Personalized Catering - 1460 WOODVILLE RD,"1460 Woodville Rd, Millbury, OH, 43447",Hunt Sears,419-250-2769
188 Acres in the Village of South Bloomfield,"13155 US-23, Ashville, OH, 43103",Chad Boggs,614-595-2752
4.02 Acre Outparcel at Costco Anchored Creekside Crossing,"7160 Frank Ave NW, North Canton, OH, 44720",Kevin Moss,216-363-6453
0 Central College Road,"0 Central College Road, New Albany, OH, 43054",Shawn Parker,614-783-2636
9684 Cilley Rd,"9684 Cilley Rd, Cleves, OH, 45002",Bill Keefer,513-562-2235
Bates Crossing Commercial Multifamily Land,"595 Center Street, Seville, OH, 44273","Jerry Fiume, SIOR, CCIM",234-231-0235
ATTICA TERRACE APARTMENTS,"201 N Woodwind Dr, Attica, OH, 44807",Drew Cerny,216-339-1618
Mickey's Rolling Thunder,"2362 S Canal St, Newton Falls, OH, 44444",Shea MacMillan,No Phone Number Available
"Former Big Lots Available 49,100 SF on 8.05 Acres","644 W Market St, Tiffin, OH, 44883",Kevin Moss,216-363-6453
9.98 AC For Sale - Former Hotel Redevelopment Opportunity,"3663 Park E Dr, Beachwood, OH, 44122",Kevin Moss,216-363-6453
5117-5129 Lewis Avenue,"5117-5129 Lewis Avenue, Toledo, OH, 43612",Rob Keleghan,419-249-6323
18-20 N. Market Street,"18 N Market St, Troy, OH, 45373",Amber Wenzler,937-520-8314
Retail Space with 3 Apartments,"108 S Main St, Cadiz, OH, 43907",Joel Dutton,330-879-5000
Fancy Meats,"139 E Warren St, Cadiz, OH, 43907",Joel Dutton,330-879-5000
Ranch to Table,"124 S Main St, Cadiz, OH, 43907",Joel Dutton,330-879-5000
1206 Brandywine Blvd- Suite E,"1206 Brandywine Blvd, Zanesville, OH, 43701",Roberta Lepi,740-455-3730
49 S Main Street,"49 S Main Street, Utica, OH, 43080",Michael Lane,614-457-0700
Mandarin Salon,"8629 Columbus Pike, Lewis Center, OH, 43035",Maya Joshi,845-300-3926
Established Booth Rental Salon,"Business Sale, Sylvania, OH, 43560",Kati McDougle,No Phone Number Available
The Jack,"982 S Front St, Columbus, OH, 43206",J R Kern,614-760-5660
Potential Duplex for Sale in Historic Downtown Lebanon Ohio,"17 W Silver St, Lebanon, OH, 45036",John M Bissman,513-800-0675
Saybrook Shores Townhomes,"6037 Lake Rd W, Ashtabula, OH, 44004",Clorice Dlugos,440-812-2542
BOROSKI AUTO BODY & REPAIR,"17399 Broadway Ave, Maple Heights, OH, 44137",Bill Balcer,216-346-2700
Legends Bar & Venue,"3801 Harrison Ave, Cheviot, OH, 45211",John Dwyer,513-784-1776
9520 Jacksontown Road,"9520 Jacksontown Rd, Thornville, OH, 43076",Jeff Headley,740-920-4588
506 Miller Avenue,"506 Miller Avenue, Columbus, OH, 43205",Nina Masseria,614-296-5784
Bellevue Flex Industrial,"1275 W Main St, Bellevue, OH, 44811",John Lubinski,330-958-7291
431-433 E 14th Avenue,"431-433 E 14th Avenue, Columbus, OH, 43201",Zeke Liston,614-665-5793
278 S Glenwood Avenue,"278 S Glenwood Avenue, Columbus, OH, 43223",Jeff Sheu,614-257-8076
146 E Main Street,"146 E Main Street, Plain City, OH, 43064",TJ Tripp,614-314-6948
2136-2152 Rockwell Ave,"2134 Rockwell Ave, Cleveland, OH, 44114",Cheng-Han Yu,216-861-5490
Investment Opportunity! Two Single Family Homes - One Parcel,"1855 Cherry Valley Rd, Newark, OH, 43055",Cyndi Layton,740-403-4470
"2 Story. 2,870 sf 5 Unit Apartment Building","45 S 5th St, Newark, OH, 43055",Cyndi Layton,740-403-4470
25-Unit Turn Key Rental Portfolio - Cleveland,"10310 Adelaide Ave, Cleveland, OH, 44111",Ryan McCullough,216-527-6888
10-Unit Turn Key SFR Rental Portfolio - Cleveland,"12109 Emery Ave, Cleveland, OH, 44135",Ryan McCullough,216-527-6888
Viva Maria Restaurant,"125 S. Main St., Ada, OH, 45810",Rebecca Neville,419-230-2250
Opportunity Zone Redevelopment | Mixed-Use Multi-Family,"907 W Broad St, Columbus, OH, 43222",Arthur Kaplan,646-494-4658
94 Nursery Lane,"94 Nursery Lane, Columbus, OH, 43206",Ginson Speich,614-312-0883
"594/2996,3000 Shook/kemble Street","594/2996,3000 Shook/kemble Street, Akron, OH, 44319",John Scaglione,330-618-0292
158-160 Belvidere Avenue,"158-160 Belvidere Avenue, Columbus, OH, 43223",Marc Rice,614-363-2787
W 73rd Street Apartments Turnkey Site Full Site Permit Ready,"1345 W 73rd St, Cleveland, OH, 44102",Jamie Dunford,440-823-1266
Ohio RNR,"31440 Deerfield Dr, Logan, OH, 43138",Amanda Myers,740-438-1947
45 S 5th Street,"45 S 5th Street, Newark, OH, 43055",Cynthia Layton,740-403-4470
"Lakehouse Inn Winery and Spa, Crosswinds Grille","5653 Lake Rd E, Geneva, OH, 44041",Clorice Dlugos,440-812-2542
696 Bank Street,"696 Bank Street, Columbus, OH, 43206",Ray Massa,614-329-4358
699 S Front Street,"699 S Front Street, Columbus, OH, 43206",Ray Massa,614-329-4358
241 E State,"241 E State St, Salem, OH, 44460",Theresa Morse,330-518-6082
0 Walker Lake Road,"0 Walker Lake Road, Ontario, OH, 44906",Chris Trease,419-564-4841
"2220 Superior Viaduct Cleveland, OH 44113","2220 Superior Viaduct, Cleveland, OH, 44113",Greg Erlanger,216-916-7778
3021 17th St Nw,"3021 17th St Nw, Canton, OH, 44708",Spencer Hartung,330-936-0276
1775 Stelzer Road,"1775 Stelzer Road, Columbus, OH, 43219",Rick Davis,740-400-9950
45.91 AC R-1 Zoned Land For Sale,"400 Center Rd, Austinburg, OH, 44010",Kevin Moss,216-363-6453
1656-1658 Forest Street,"1656-1658 Forest Street, Columbus, OH, 43206",Zeke Liston,614-665-5793
3050 Elm,"3050 Elm Rd NE, Warren, OH, 44483",Matthew Wilson,330-347-9677
314 Unit Multifamily Permitted Site,"Market Ave, Middletown, OH, 45005",Mark Langdon,937-684-9847
Historic Building in the Flats for Sale,"1700 Columbus Rd, Cleveland, OH, 44113",Bob Biggar,216-839-2030
Approximately 2.5 AC Development Site,"1250 N Canfield Niles Rd, Mineral Ridge, OH, 44440",Kevin Moss,216-363-6453
661 State Rd 38,"661 State Rd 38, London, OH, 43140",Timothy Weber,614-374-5600
Development Opportunity,"2000 Lockbourne Rd, Columbus, OH, 43207",THE CBUS AGENCY Messiva Amer-Yahia,740-972-8967
64-70 W Greenwood Avenue,"64-70 W Greenwood Avenue, Columbus, OH, 43201",Michael Linsker,216-513-2335
Harrison Avenue Multi-Family,"5843 Harrison Ave, Cincinnati, OH, 45248",Mark Langdon,937-684-9847
KVB Properties - Investment Portfolio,"Canton OH, Canton, OH, 44705",John Lubinski,330-958-7291
South Lane,"464 South Ln, Columbus, OH, 43206",Priyanshu Adathakkar,614-450-2510
502 Wayne Ave,"502 Wayne Ave, Dayton, OH, 45410",Nick Miller-Jacobson,937-222-1600
17795 Coshocton Road,"17795 Coshocton Road, Mount Vernon, OH, 43050",Benton Benalcazar,614-206-5861
20+ AC Local Retail Zoned Development Site,"11633 Avon Belden Rd, Grafton, OH, 44044",Kevin Moss,216-363-6453
Birdtown Seven on Robin,"2066 Robin St, Lakewood, OH, 44107",Justin Campbell,216-801-3599
Hampton Tudor Square Apartments,"2899 Hampton Rd, Cleveland, OH, 44120",Justin Campbell,216-801-3599
208-214 Main St,"208-214 Main St, Toronto, OH, 43964",Joseph Luckino,740-632-9111
Twin Oakes - 12 Unit Multifamily Portfolio Sale,"4669 17th St NW, Canton, OH, 44708",Spencer Hartung,330-936-0276
Ten X Auction April 21st - 23rd 3 Buildings in Cleveland,"1720-1736 Columbus Rd, Cleveland, OH, 44113",Joseph Khouri,440-823-2316
Lansing Ave,"6508 Lansing Ave, Cleveland, OH, 44105",Michael Pasadyn Jr,440-258-9126
1225 N Scott Street,"1225 & 1227 N Scott Street, Napoleon, OH, 43545",David Mrachko,216-214-1197
Ram Tuff Muffler,"834 Youngstown-Poland Rd, Struthers, OH, 44471",Don Thomas,501-269-3827
Viaduct Landings,"2206 Superior Viaduct, Cleveland, OH, 44113",David Mrachko,216-214-1197
4949 North Union Road,"4949 N Union Rd, Trotwood, OH, 45426",Bethany Yost,937-979-7419
2.16 AC Signalized Intersection Development Site,"6338 Broadview Rd, Parma, OH, 44134",Kevin Moss,216-363-6453
4235 Wilmington Pike,"4235 Wilmington Pike, Dayton, OH, 45440",Bob Caperna,937-470-0046
INVESTMENT OPPORTUNITY!,"602 E Town St, Columbus, OH, 43215",Alex Marsh,614-221-4286
0 Bally Row Lot #22929,"0 Bally Row, Mansfield, OH, 44906",DeLena Ciamacco,614-580-6775
1531 Tremont Street,"1531 Tremont St, Cincinnati, OH, 45214",Clint Bradley,859-442-6800
"1066 Lost Nation Road, Willoughby, OH, 44094","1066 Lost Nation Road, Willoughby, OH, 44094",Robin Brower,440-862-0352
22 Acres across from Hollywood Casino,"648 S Canfield-Niles Rd, Austintown, OH, 44515",John Lubinski,330-958-7291
Euclid Hastings,"15632 Euclid Ave, East Cleveland, OH, 44112",Jason Griffith,330-931-9418
Hutch Pet Shop Corner,"103 Lake St, Kent, OH, 44240",Ryan Poland,330-931-1403
Downtown Gateway Redevelopment Project,"117- 141 South Main Street, Oberlin, OH, 44074",Chris Seelig,216-239-5073
Parkside Drive & State Rte. 741,"Parkside Drive & State Rte. 741, Mason, OH, 45040",Stewart Devitt,513-588-1115
6309 & 6323 W Bancroft St,"6309 & 6323 W Bancroft St, Toledo, OH, 43615",John Healey,419-877-7777
10151 Maumee Western Road,"10151 Maumee Western Rd, Monclova, OH, 43542",Megan Malczewski,419-215-1008
4172-4174-4178 Rocky River Drive,"4172-4174-4178 Rocky River Drive, Cleveland, OH, 44135",Neil Sawicki,440-255-5552
West Road & Dunridge Road,"Dunbridge Rd, Bowling Green, OH, 43402",Mike Howard,419-290-0561
56-Unit Apartment Complex & 35-Unit Storage Facility,"300 Lincoln St SW, Hartville, OH, 44632",Richard T. Kiko Jr,330-455-9357
909-915 WILSON AVE,"909 Wilson Ave, Columbus, OH, 43206",Joey Miller,614-812-0369
8 Unit Apartment - Jewett Ohio,"126 Main St, Jewett, OH, 43986",Megan Eckstein,330-605-4302
Hooks Chicken and Fish,"4 N Miami St, Trenton, OH, 45067",Fisal Ikhmayes,614-900-1000
"Fox's Pizza Den - Marion, OH","546 N Main St, Marion, OH, 43302",Emily Stephen,614-787-0701
2822-2824 E 5th Avenue,"2822-2824 E 5th Avenue, Columbus, OH, 43219",Zeke Liston,614-665-5793
2532 Mink St NW,"2532 Mink St, Johnstown, OH, 43031",Seth Asman,614-747-2052
3895 Kirkwood Rd,"3895 Kirkwood Rd, Cleveland Heights, OH, 44121",Michael Azzam,440-503-9609
1893 Country Church AirBnB,"3375 Cannelville Rd, Roseville, OH, 43777",Bob Waun,248-722-9286
11501 Governor Ave,"11501 Governor Ave, Cleveland, OH, 44111",Michael Azzam,440-503-9609
1576-1578 Arlington Avenue,"1576-1578 Arlington Avenue, Columbus, OH, 43211",Marc Rice,614-363-2787
563 S Dawson Avenue,"563 S Dawson Avenue, Columbus, OH, 43209",Owen Heisey,614-397-0141
2905 Alms,"2904 Alms Pl, Cincinnati, OH, 45206","Shawn Gilreath, MAI",513-312-9008
Country Porch Winery,"2282 Wilson Sharpsville Rd, Cortland, OH, 44410",Alan Friedkin,330-759-2383
Former YMCA SRO,"136 S West St, Lima, OH, 45801",Tim Stanford,419-222-3040
Outskirts,"2412 Cable Ct, Lima, OH, 45805",Joe Guagenti,419-230-5050
977 Bryden Road,"977 Bryden Road, Columbus, OH, 43205",Nina Masseria,614-296-5784
"438-440 E 15th Avenue Columbus, OH 43201","438-440 E 15th Avenue, Columbus, OH, 43201",Joseph Jackson,614-431-1220
438 E 15th Avenue,"438 E 15th Avenue, Columbus, OH, 43201",Joseph Jackson,614-431-1220
MODERN TINY LIVING,"Columbus, Ohio, Columbus, OH, 43201",THE CBUS AGENCY Messiva Amer-Yahia,740-972-8967
"8062 Orange Centre Dive, Lewis Center, Ohio 43035","8062 Orange Centre Dr, Lewis Center, OH, 43035",Randy Best,614-559-3350
Sandusky Landmark | 237 Washington Row,"237 W Washington Row, Sandusky, OH, 44870","Henry ""Mac"" Lehrer, CCIM",419-357-4004
2730 Sullivant Avenue,"2730 Sullivant Avenue, Columbus, OH, 43204",Zeke Liston,614-665-5793
69-71 E 1st Avenue,"69-71 E 1st Avenue, Columbus, OH, 43201",Zeke Liston,614-665-5793
Stygies Tavern,"77 N Stygler Rd, Gahanna, OH, 43230",Emily Stephen,614-787-0701
99 N Main St,"99 N Main St, Swanton, OH, 43558",Kevin Carr,419-705-3662
Olympic Reserve,"2008 Gold Medal Drive, Springfield, OH, 45503",Carter Stephens,631-704-2257
Mercantile,"309 S 4th St, Columbus, OH, 43215",Carter Stephens,631-704-2257
Fox Medical Office,"464 Richmond Road, Richmond Heights, OH, 44143",Robin Brower,440-862-0352
9829 Eagle Dr,"9829 Eagle Dr, Huntsville, OH, 43324",Jason & Cari Jo Parham,254-217-0243
34-36 Midland Avenue,"34-36 Midland Avenue, Columbus, OH, 43223",Zeke Liston,614-665-5793
Mixed-Use Building | Heart of Coventry Village,"2800 Mayfield, Cleveland Heights, OH, 44118",Tal Tamir,216-870-8687
715 W Chestnut St,"715 W Chestnut St, Oxford, OH, 45056",Ken Thacker,513-524-2221
14 S Poplar St,"14 S Poplar St, Oxford, OH, 45056",Ken Thacker,513-524-2221
960 S Ohio Avenue,"960 S Ohio Avenue, Columbus, OH, 43206",Elizabeth Greulich,No Phone Number Available
Brewery District Portfolio: Development/Redevelopment,"781 S Front St, Columbus, OH, 43206",Michael Linsker,216-513-2335
87-89 Warren Street,"87-89 Warren Street, Columbus, OH, 43215",Christopher Davis,614-846-3302
4039 State Route 14,"4039 OH-14, Rootstown, OH, 44272",Ryan Poland,330-931-1403
Mayfield Apartments,"2646 Mayfield Rd, Cleveland Heights, OH, 44106",Nick Soeder,216-862-5616
1865 Agler Road,"1865 Agler Road, Columbus, OH, 43224",Marc Rice,614-363-2787
1249-1251 E 15th Avenue,"1249-1251 E 15th Avenue, Columbus, OH, 43211",Marc Rice,614-363-2787
127 Penn,"127 Penn Ave, Salem, OH, 44460",Theresa Morse,330-518-6082
415 Nace Avenue,"415 Nace Avenue, Columbus, OH, 43223",Zeke Liston,614-665-5793
1837 Sullivant Avenue,"1837 Sullivant Avenue, Columbus, OH, 43223",Zeke Liston,614-665-5793
818 Reedy St,"818 Reedy St, Cincinnati, OH, 45202",John Dwyer,513-784-1776
1.08 AC - 30.6 AC Development Site,"5977 N Ridge Rd, Madison, OH, 44057",Kevin Moss,216-363-6453
6-Unit Turnkey Portfolio Cleveland 44109,"4464 W 28th St, Cleveland, OH, 44109",David Best,216-214-3813
1877-1879 S Bruck Street,"1877-1879 S Bruck Street, Columbus, OH, 43207",Remington Lyman,614-541-8475
Mt Lookout Square,"3160 Linwood Ave, Cincinnati, OH, 45208",Chris Nachtrab,513-604-1899
Walnut/E. McMicken - OTR Portfolio,"100 E McMicken Ave, Cincinnati, OH, 45202",Kristina Skurow,No Phone Number Available
CATL G-PACK Battery Modules 50% Off Market Price,"e broad st columbus oh, Columbus, OH, 43215",Vasilios Bill Michailidis,786-338-5536
