Building Name,Address,Broker,Broker Phone
MARYLAND APARTMENTS,"329 WEST HUISACHE AVENUE, SAN ANTONIO, TX, 78212",Todd Hess,830-660-0999
WATERFRONT RV/COTTAGE PARK AND MARINA PAVILION /W BOAT DOCK,"101 Bay Ave, Seadrift, TX, 77983",Annette Scott,512-803-7889
Central Park Condominiums,"2210 Westview Blvd, Conroe, TX, 77304",Travis Clark,805-404-7272
Cascade Park Village Apartment Development,"2505 Walton Rd, Tyler, TX, 75701",Jerad Rector,214-281-8633
2400-2408 Bryan St.,"2400 Bryan St, Commerce, TX, 75428",David Tello,254-640-2314
Store & More of Clear Springs,"1545 TX-46, New Braunfels, TX, 78130",Jon Danklefs,210-343-7838
Bulldog Storage,"11585 State Hwy 64, Tyler, TX, 75704",Bill Bellomy,832-623-1690
Amarillo Self Storage of Texas,"700 N Houston St, Amarillo, TX, 79107",Kristen Asman,614-370-9077
Oak Grove Townhomes,"10530 Starcrest Dr, San Antonio, TX, 78217",Mike Giddens,210-912-1315
The Sevens Townhomes,"705 W Crawford St, Denison, TX, 75020",Colton Tapp,469-371-6247
926 King Ave,"926 King Ave, San Antonio, TX, 78211",Dominique Jimenez,No Phone Number Available
Lubbock Square Apartments,"4602 50th St, Lubbock, TX, 79414",Raymond Lord,918-850-1779
22nd Place Medical District Multi-Family Package,"3711 22nd Pl, Lubbock, TX, 79410",David Powell,806-239-0804
The Pomelo,"4400 San Jacinto St, Dallas, TX, 75204",Grant Guest,214-207-8581
"Stuff It Storage | Cottonwood Shores, TX","3917 FM 2147 W, Cottonwood Shores, TX, 78657",Tyler Peterson,913-515-7652
16 Unit Apartment Complex — Cash Flowing,"1808 N 8th St, Killeen, TX, 76541",Matthew Marshall,903-581-3737
Income Producing RV Park/Prime Location,"14102 County Rd 431, Tyler, TX, 75706","Samuel Scarborough, CCIM",903-707-8560
Stevenson Place,"526 E N 7th St, Abilene, TX, 79601",Greg Brownd,806-777-4459
"3001 E 51st St #1,2,3,4,5,6,7","3001 E 51st St, Austin, TX, 78723",Mike Caputo,512-825-1667
Gilbert Ave Apts,"4004 Gilbert Ave, Dallas, TX, 75219",Keith Auten,214-343-9754
Ashwood Court Apartments,"2301 50th St, Lubbock, TX, 79412",Daniel Chastain,806-577-0293
La Maureta Apartments,"417 Withers St, Denton, TX, 76201",Steven Geis,940-368-5559
6701 May Dr,"6701 May Dr, Waco, TX, 76710",Kyle Heffron,210-848-3312
40 UNIT APT COMPLEX - NEAR UH/TSU - RENOVATED,"3643 N MacGregor Way, Houston, TX, 77004",Kevin Riles,281-403-3700
Flint Canyon RV Park and Wild Game Processing,"1321 Fm 56N, Glen Rose, TX, 76043",IRE Investment,518-379-0652
"OWNER FINANCE NEW LUCKY LADY RV PARK - 34 SITES ROCKPORT, TX","1655 FM 1781, Rockport, TX, 78382",Annette Scott,512-803-7889
Coryell Court Apartments,"202 Coryell Ct, League City, TX, 77573",Zach Currey,972-357-4650
Scharbauer Dr Rental Portfolio Package,"1200 W Scharbauer Dr, Midland, TX, 79705",Kerri Payne James,432-553-7443
1404 Somerset Road,"1404 Somerset Road, San Antonio, TX, 78211",Adolfo Landa,956-451-1152
"12-Unit Multi-Family Portfolio - Houston, TX","4948 Polk Street, Houston, TX, 77023",Andrew Ackerman,770-626-0445
Dell Creek RV Park,"515 Ulrich Ln, Crosby, TX, 77532",Elaina Rivers Bowden,281-328-8700
The Right Mix Ranch,"1000 County Road 904, Joshua, TX, 76058",JP King,800-558-5464
University Park Condominiums - Condo Package,"3105 Sondra Dr, Fort Worth, TX, 76107",Nathan Coughey,817-808-8470
JMG Data Center,"100 Plantation Dr, Conroe, TX, 77303",Gary Goff,281-686-0000
Self Storage of Anna,"114 Bowden St, Anna, TX, 75409",Danny Cunningham,817-932-6141
Villas at Park Place,"8345 Park Pl Blvd, Houston, TX, 77017",GREA Houston Brokerage,713-587-9606
Sea Garden,"47931 Michigan St, Port Isabel, TX, 78578",Andrew Neumann,925-999-5135
Guadalupe River Outdoor Hospitality Property & Business,"7308 River Rd, New Braunfels, TX, 78132",Landan Dory,512-222-6826
"TufStorage | Katy, TX","19934 Franz Rd, Katy, TX, 77449",Matt Ragland,512-410-7719
Storage Inn,"12821 N Houston Rosslyn Rd, Houston, TX, 77086",Bill Bellomy,832-623-1690
16181 Lindstrom Rd,"16181 Lindstrom Rd, Crosby, TX, 77532",Joe Tijerina,832-746-0674
Chateau 1000,"2290 Long St, Beaumont, TX, 77701",Kekoa Lwin,808-478-6453
Downtown Brenham Apartments in Opportunity Zone,"401 E Main St, Brenham, TX, 77833",Loren Miner,626-826-5906
Mobile Home Park For Sale Lindale TX,"18957 U.S. Hwy 69 N, Lindale, TX, 75771","Samuel Scarborough, CCIM",903-707-8560
6213 Tidwell,"6213 Tidwell Rd, Houston, TX, 77016",Amit Mehta,832-607-1579
2510 SW 36TH ST,"2510 SW 36th St, San Antonio, TX, 78237",Pierre Vasquez,210-542-4000
4927 San Jacinto,"4927 San Jacinto St, Dallas, TX, 75206",Matteo Faeth,469-554-0430
7301 County Rd. 203A,"7301 County Rd 203A, Liverpool, TX, 77577",Jay Shaw,832-859-3893
Rosepine and Diboll Storage Portfolio,"503 1st St N, Diboll, TX, 75941",Brandon Robinson,760-534-8135
Wipprecht Plaza,"3805 Wipprecht St, Houston, TX, 77026",Scott Lunine,713-275-9602
Hall Acres 8Plex,"744 W Hall Acres Rd, Pharr, TX, 78577",Fernando Pacheco,956-212-1095
Englehart Estates,"745 Englehart, San Antonio, TX, 78264",Landan Dory,512-222-6826
Barcelona,"5820 Reiger Ave, Dallas, TX, 75214",Todd Franks,214-206-9559
Concord Manor,"5680 Concord Rd, Beaumont, TX, 77708",CECILIA CARDENAS,832-452-4663
Half Price Storage | Seller Financing Available,"2806 US-180, Mineral Wells, TX, 76067",Brandon Robinson,760-534-8135
The Forest,"22820 Imperial Valley Dr, Houston, TX, 77073",GREA Houston Brokerage,713-587-9606
Westlake Duplex,"1908 Lakeshore Dr, Austin, TX, 78746",Sean Smith,817-909-1831
321 Blanks St,"321 Blanks St, Seguin, TX, 78155",Michael Vasquez,210-255-1118
18-Unit Townhome Condo Investment Opportunity,"8607 Bart Ln, Houston, TX, 77040",Kevin Riles,281-403-3700
Lampasas RV Ranch,"3200 County Rd 1045, Lampasas, TX, 76550",Eli Buck,512-638-1443
"Former Assisted Living Center | Garland, TX","3450 Wagon Wheel Rd, Garland, TX, 75044",Brian Brisky,612-413-4200
Quiet One RV Park | 64 Space RV Park,"600 W James St, Rockport, TX, 78382",Eli Buck,512-638-1443
University Village - TCU,"3125 S University Dr, Fort Worth, TX, 76109",Grant Guest,214-207-8581
Azle Self Storage,"101 Enchanted Lakes Dr, Azle, TX, 76020",Stacy Byassee,940-600-8883
"3 story 24,000sf on 2.94 acres - Near Downtown Waco","925 N 18th St, Waco, TX, 76707",Brad Wetzel,254-709-9703
San Marcos Portfolio,"103 Smith Ln, San Marcos, TX, 78666","Robert Sherwood, CCIM",512-587-4349
Enfield Rd 10-unit Apartment,"1409 Enfield Rd, Austin, TX, 78703",Sean Kubicek,512-826-1135
Public Storage - 3rd Party Managed,"2400 Riverside Dr, Fort Worth, TX, 76103",Zachary Urow,201-572-4021
The Carolina,"4929 Reiger Ave, Dallas, TX, 75214",Grant Guest,214-207-8581
BUZZARD BAY LANDING & RV PARK,"7415 N State Line Rd, Karnack, TX, 75661",Craig Nielson,817-354-7653
South 513 RV & Storage,"Farm to Market 513 S, Lone Oak, TX, 75453",Michael Barakatt,786-449-8742
Goodrich Apartments,"2115 Goodrich Ave, Austin, TX, 78704",Sam Parsley,432-638-7202
DFW Portfolio (2),"5500 S R L Thornton Fwy, Dallas, TX, 75232",Scott Schoettlin,949-400-2709
16 Unit Boutique Apartment Montrose / Museum District Market,"2703 Mason St, Houston, TX, 77006",Boris Sanchez,832-291-7101
Inwood Village Townhomes,"7830 Bayou Forest Dr, Houston, TX, 77088",Jon Krebbs,903-513-0658
24 Units – Rehab-Ready Townhome Site,"3121 Brewster St, Houston, TX, 77026",Loren Miner,626-826-5906
Enclave at Killeen,"1105 N 18th St, Killeen, TX, 76541",Grant Mobley,512-975-2316
Laredo apartment,"14302 Laredo St, Houston, TX, 77015",Long Nguyen,713-494-1579
Beltway Storage,"11711 C E King Pkwy, Houston, TX, 77044",Bill Bellomy,832-623-1690
Vic Centre Apartments,"7120 Anderson Blvd, Fort Worth, TX, 76120",Porter Christensen,801-989-2890
Lunker Boat + RV Storage,"5638 Co Rd 547, Nevada, TX, 75173",Danny Cunningham,817-932-6141
REDUCED! Rusk KOA Holiday - 745 FM 343 East,"745 FM 343 East, Rusk, TX 75785, Sacul, TX, 75785",Chris Joyce,936-577-0836
Skyline Ranch RV Park,"2231 State Hwy 16 N, Bandera, TX, 78003",Chris Joyce,936-577-0836
TWU Student Housing Duplexes,"1625 N Ruddell St, Denton, TX, 76209",Hayden Houston,512-962-0316
12 Stiles street Triplex,"12 Stiles St, Houston, TX, 77011",Ash Noorani,832-455-6486
The Bonnie and Clyde,"308 E 8th St, Dallas, TX, 75203",Grant Guest,214-207-8581
Village Apartments,"2709, 2713 & 2800 N 30th St, McAllen, TX, 78501",David Goldberg,312-912-3724
Carraway rv & Boat storage,"9205 Carraway Ln, Magnolia, TX, 77354",Bill Bellomy,832-623-1690
Midway Pines RV Park & Storage,"9322 Glen Rose Hwy, Granbury, TX, 76048",Eli Buck,512-638-1443
2901 Sweeney Lane,"2901 Sweeney Ln, Austin, TX, 78723",Ryan Jamison,254-733-9458
Truxillo St Airbnb,"2618 Truxillo St, Houston, TX, 77004",Loren Miner,626-826-5906
Rolling Hills,"2010 Estrada Pkwy, Irving, TX, 75061",Todd Franks,214-206-9559
Weir County Storage,"4575 FM971, Georgetown, TX, 78626",Glenn Patterson,512-639-4772
RV Park Gulf Coast,"399 County Rd 201, Bay City, TX, 77414",Patrick Serna,210-400-7131
SELLER FINANCING AVAILABLE! 8-Unit Multi-Family Investment,"6420 Conley St, Houston, TX, 77021","Adam Olsen, CCIM",713-614-2670
8300 Elam Rd and 8314 Elam Rd,"8300 Elam Rd, Dallas, TX, 75217",Zahid Zabidi,832-375-9724
Villa Nueva,"5600 North Fwy, Houston, TX, 77076",Travis Clark,805-404-7272
LEGACY APARTMENTS,"422 S Crockett St, Sherman, TX, 75090",Tom Wilkinson,713-355-4646
SAN ANTONIO OFF MARKET MULTIFAMILY PORTFOLIO,"Undisclosed, San Antonio, TX, 78205",Emily Johnson,210-640-9901
Turnkey trophy cashflow house in West Campus near UT Campus.,"2511 San Gabriel St, Austin, TX, 78705",Tony Lazarov,512-762-8669
United Storage Units - Texas 3 Facility Portfolio,"1211 E Tarrant St, Bowie, TX, 76230",Kenneth DeVaul,727-201-6594
Courtyard Apartments,"301 Avenue H, Van Vleck, TX, 77482",Matt Bean,No Phone Number Available
PLAZA VERDE,"212 Plaza Verde Dr, Houston, TX, 77038",Alma Puerto,936-242-7654
Cheshire Gardens & Lynridge Apartments,"2121 W William Cannon Dr, Austin, TX, 78745",Sally Burns,512-993-0842
The Flats at Roseland - 8 units,"3915 Roseland Ave, Dallas, TX, 75204",Matteo Faeth,469-554-0430
"32 Units / 8 Fourplexes Multi-family | Fort Worth, TX","5841 Shadydell Dr, Fort Worth, TX, 76135",Abdul Jameel Abdur Rahman,682-559-2278
Summer Breeze RV Park Resort- Kemah,"2630 FM517, San Leon, TX, 77539",Faye Ausmus,832-563-4157
204 E Rosewood Ave,"204 E Rosewood Ave, San Antonio, TX, 78212",Jessie Bienvenu,210-550-4440
10 Collett Ave,"10 N Collett Ave, Dallas, TX, 75206",Matteo Faeth,469-554-0430
The Palapa RV Beach Resort,"731 TX-87, Bolivar Peninsula, TX, 77617",Carrie Sieger,262-812-6420
Windrush,"2447 Lockhill Selma Rd, San Antonio, TX, 78230",Drew Garza,210-343-7848
"101647 . 332 SFR Home Investment Portfolio, Texas","332 SFR Home Investment Portfolio, Texas, Across Texas, TX, 75228",Tom Johnston,602-825-1780
Santa Fe Condo Apartments,"12315 Jones Maltsberger Rd, San Antonio, TX, 78247",Harris Weber,713-775-6239
Bradshaw Sunset RV Park,"352 W Bradshaw Rd, Springtown, TX, 76082",Link Karlen,817-996-6200
2705 Dickinson Ave,"2705 Dickinson Ave, Dickinson, TX, 77539",Jeri Blake,832-326-0097
203 DANNA LN,"203 Danna Ln, Houston, TX, 77009",Patrick Graham,281-645-6151
Ciros Tower,"502 Shiloh Dr, Laredo, TX, 78045",Samantha Rojo,956-326-5593
Pods @ Gordon - TCU Student Rental,"3122 Gordon Ave, Fort Worth, TX, 76110",Janaki Gopinath,732-910-7023
Prime Multifamily Investment for Sale!,"5408 Market St, Houston, TX, 77020",Kevin Riles,281-403-3700
Belmont Court Apartments,"4919 Belmont Ave, Dallas, TX, 75206",Matteo Faeth,469-554-0430
Amarillo Multifamily Package,"1410 SW 9th Ave, Amarillo, TX, 79101",Kirk Chudej,806-358-7151
Dallas Design District 4770 Iberia Avenue,"4770 Iberia Ave #200, Dallas, TX, 75207",Justin Ware,214-207-8273
NOTE for sale- 11 Multi Family and Branded Hotel TX,"1000 Texas St, Houston, TX, 77002","Majid Radaei, MBA CRE Advisor(Hotel, Multi Family)",818-334-2111
Serene Shores,"2026 Waldron Rd, Corpus Christi, TX, 78418",Todd Franks,214-206-9559
Corral RV Park,"1402 S Cherry St, Tomball, TX, 77375",Morgan Cole,281-249-9024
Summerhill,"3001 Midland Dr, Midland, TX, 79707",Kirk Chudej,806-358-7151
Townhomes on Three,"15240 Galveston Rd, Webster, TX, 77598",GREA Houston Brokerage,713-587-9606
La Joya 8 Plex,"212 Alex Ave, La Joya, TX, 78560",Jacob Galvan,956-363-1179
The Annex,"326 Whitewood St, San Antonio, TX, 78242",Drew Garza,210-343-7848
Magnolia East,"13663 FM 1488, Magnolia, TX, 77354",Harrison Mohn,713-898-3976
Embassy Apartments,"1415 W Airport Fwy, Irving, TX, 75062",Blake Baldocchi,214-493-3312
Rare - Mid Mod Office / Live Work,"1953 Richmond Ave., Houston, TX, 77098",Loren Miner,626-826-5906
403 W Hollywood Ave,"403 W Hollywood Ave, San Antonio, TX, 78212",Jessie Bienvenu,210-550-4440
Vista RV Community,"2299 FM982, Princeton, TX, 75407",Carrie Sieger,262-812-6420
Steelcreek Self Storage Lewisville,"940 N Mill St, Lewisville, TX, 75057",Bill Bellomy,832-623-1690
"Lakefront Motel, RV Park & Gas Station Offered at a 10% cap!","3035 TX-154, Quitman, TX, 75783",Carrie Sieger,262-812-6420
Gardens at Anderson Square,"7908 Gault St, Austin, TX, 78757",Grant Mobley,512-975-2316
Kerrville Income Property with Owner financing available,"TBD, Kerrville, 78028",Teresa Bailey-Weirich,512-517-2691
2500 Willow Hill,"2500 Willow Hill Dr, Austin, TX, 78741",Graham Schmergel,512-861-3423
"Successful Short Term Rental, Venue in the TX Hill Country","5460 FM2325, Wimberley, TX, 78676",Heather Kyser,512-970-0579
1423 N Carroll Ave,"1423 N Carroll Ave, Dallas, TX, 75204",Matteo Faeth,469-554-0430
"4112-4112 Junius St, Dallas, TX | 100% Occupied 4-Plex","4114 Junius St, Dallas, TX, 75246",Ross Miller,972-772-6025
Airline House,"1607 Airline Dr, Houston, TX, 77009",Kevin Keane,832-755-1745
2213 W 34th St,"2213 W 34th St, Houston, TX, 77018",Kyle Fischer,281-627-0834
1102 Ann Street,"1102 Ann, Pasadena, TX, 77506",ARMANDA ROMERO,832-722-2768
The Flats at Roseland,"4001 Roseland Ave, Dallas, TX, 75204",Matteo Faeth,469-554-0430
The Flats at Medical District,"2202 Mail Ave, Dallas, TX, 75235",Matteo Faeth,469-554-0430
University Cove,"12200 I-10, San Antonio, TX, 78230",Jon Krebbs,903-513-0658
Tobin Hills Loft,"327 E Locust St, San Antonio, TX, 78212",James Cotter,210-529-7174
Cowboy Ranch,"19327 Belleau Wood Dr, Humble, TX, 77338",Lance Loken,832-387-8248
Waters at Westchase,"11490 Harwin Dr., Houston, TX, 77072",GREA Houston Brokerage,713-587-9606
Castle View RV Park,"9515 FM2657, Kempner, TX, 76539",Justin Beck,512-626-2587
104 Texas Avenue,"104 Texas Ave, College Station, TX, 77840",Jack Parker,979-260-5000
1150 Fuller Drive Dallas,"1150 Fuller Dr, Dallas, TX, 75218",Julie Nguyen,214-683-0939
"Better Storage - Corpus Christi, TX","5849 Holly Rd, Corpus Christi, TX, 78412",Zachary Urow,201-572-4021
San Marcos River Campground & Business Portfolio,"1400 Sherrill Rd, Kingsbury, TX, 78638",Landan Dory,512-222-6826
4505 & 4510 18th St,"4505 18th St, Bacliff, TX, 77518",Jeff George,281-336-3121
11133-A Huffmeister Rd,"11133-A Huffmeister Rd, Houston, TX, 77065",Joel C. English,713-473-7200
Creekside RV Park | 36 Space RV Park with Expansion Room,"903 S Beech St, Winnsboro, TX, 75494",Eli Buck,512-638-1443
"101664 . 117 Home SFR Dallas-Fort Worth, TX","101664 . 117 Home SFR, Dallas-Fort Worth, TX, 75227",Tom Johnston,602-825-1780
Bonita Gardens,"3410 Fordham Rd, Dallas, TX, 75216",Trey Caldwell,972-979-9057
7535 Nodding Pines,"7535 Nodding Pines Ln, Houston, TX, 77044",Chris Abel,281-552-8423
"808 Milrany, Melissa TX 75454","808 Milrany Ln, Melissa, TX, 75454",Corey Homer,972-562-9090
Shady Grove RV Park,"2905 W Oakdale Rd, Grand Prairie, TX, 75050",Enon Winkler,407-900-9986
Watson & Taylor Self Storage Brockbank,"9801 Brockbank Dr, Dallas, TX, 75220",Bill Bellomy,832-623-1690
Mystic Quarry Resort,"13190 FM306, Canyon Lake, TX, 78133",Chris Bryan,817-996-9966
"3415 Chihuahua Avenue, Dallas, Texas 75212","3415 Chihuahua Ave, Dallas, TX, 75212",Aroma Zidan,424-230-4207
WINDWARD II CONDOMINIUMS,"4288 Bass Pro Dr, Garland, TX, 75043",Kevin Diener,214-663-4236
CREEKSIDE VILLAS,"9730 Whitehurst Dr, Dallas, TX, 75243",Kevin Diener,214-663-4236
Landmark Apartments,"3299 S Polk St, Dallas, TX, 75224",Farhad Hojat Nejad,No Phone Number Available
Boerne Villas,"311 E San Antonio Ave, Boerne, TX, 78006",Sam Parsley,432-638-7202
5810 Hudson St,"5810 Hudson St, Dallas, TX, 75206",Huma Azim,972-484-6644
Northwest Storage,"1211 Northwest Blvd, Georgetown, TX, 78628",Bill Bellomy,832-623-1690
Granite Shoals - Mini Mobile Home Park,"215 E Castleshoals Dr, Granite Shoals, TX, 78654",Mitchell Kent,512-909-7727
Tra RV Park,"3100 Moore St, Pecos, TX, 79772",Michael Nissley,561-479-1588
4710 W Illinois Ave,"4710 W Illinois Ave, Dallas, TX, 75211",Scott Smith,214-720-3663
"8077, 8081 Alameda Ave","8081 Alameda Ave, El Paso, TX, 79915",Albert Lugo,915-269-1550
Willow Creek Apartments,"1224 S. High Street, Longview, TX, 75602",James Blake,817-288-5508
Campfire Rv Park,"1396 FM718, Aurora, TX, 76078",Travis Eddy,254-913-5417
The Kress Building,"604 Main St, Fort Worth, TX, 76102","Joe Santelli, CCIM",972-755-5282
Carvel Apartment,"8330 Carvel Ln, Houston, TX, 77036",Thế Trinh Nguyen,832-646-0329
Shavano Garage Condos,"13951 Indian Woods, San Antonio, TX, 78249",Gilles Ghez,210-222-2424
2401 S I-35,"2401 S I-35 Frontage Rd, Austin, TX, 78741",Zach Roesinger,512-949-1418
Crestview Place,"7304 Twin Crest Dr, Austin, TX, 78752",Grant Mobley,512-975-2316
Crossroads at 290,"2095 Old Hwy 20, McDade, TX, 78650",Austin Jones,281-729-6604
3403 Richmond Ave,"3403 Richmond Ave., Houston, TX, 77046",Jeff Peden,713-231-1640
City View Inn & Suites - 1306 E Commerce St & Cherry,"1306 E Commerce St, San Antonio, TX, 78205",SanJay Jawanda,210-316-0344
"La Hacienda Inn, 1524 E Commerce St & Olive, San Antonio","1524 E Commerce St, San Antonio, TX, 78205",SanJay Jawanda,210-316-0344
"19265 US-69 N, Lindale, TX","19265 US Hwy 69 N, Lindale, TX, 75706",Kevin Weable,972-845-1663
"723 S Seven Points Dr, Seven Points, TX","723 S Seven Pts Dr, Tool, TX, 75143",Kevin Weable,972-845-1663
409 Rayford Rd,"409 Rayford Rd, Spring, TX, 77386",Jarred Taylor,979-431-4400
Village on Hill Street,"303 S Hill St, Burnet, TX, 78611",Sam Parsley,432-638-7202
Elgin RV Park Development | Westbrook Tiny Homes,"111 Westbrook Ln, Elgin, TX, 78621",Eli Buck,512-638-1443
32702 Knebel Road,"32702 Knebel Rd, Waller, TX, 77484",MATTHEW SEYMOUR,281-546-6992
Relax Inn,"6030 I-40 West, Amarillo, TX, 79106",Bharat Vakil,817-821-1536
Dual Brand Red Roof Inn and Home Townes Studios,"6800 I-40 West, Building A & B, Amarillo, TX, 79106",Bharat Vakil,817-821-1536
Verona 6Plex Portfolio,"Maria Jose Dr, Weslaco, TX, 78599",Fernando Pacheco,956-212-1095
SWC of Kuykendahl Rd  & Ella Blvd,"SWC of Kuykendahl Rd  & Ella Blvd, Houston, TX, 77090",Jake Galloway,281-664-6661
3300 Yorktown (34-Unit Condominium),"3300 Yorktown St, Houston, TX, 77056",Andre Azizi,281-955-3888
2948 Pue RD,"2948 Pue Rd, San Antonio, TX, 78245",David Hollingsworth,210-343-7825
0 Castlebridge Drive,"0 Castlebridge Drive, Houston, TX, 77065","Preston Yaggi, SIOR, CCIM",713-744-7440
TESLA Site (Across street) 13400 FM 969 NEWLY PERMITTED,"13400 FM 969, Austin, TX, 78724",Kyler Miller,720-234-4896
Farrar West Apartments,"5720 66th St, Lubbock, TX, 79424",Marcus Christensen,305-394-8165
16- Unit Apartment WICHITA FALLS PORTFOLIO Seller Financing,"1109 Harrison St, Wichita Falls, TX, 76309",Kevin Diener,214-663-4236
Infill Heavy Manufacturing Facility on 5.83 Acres,"1430 Vanderbilt Drive, El Paso, TX, 79935",Brett Preston,915-843-8888
Crossin Storage,"145 Gray Dr, Livingston, TX, 77351",Gray Griffin,615-812-3293
130 E Gardenia Street,"130 E Gardenia Street, South Padre Island, TX, 78597",Myra Caridad García,956-648-6456
18920 Mueschke Rd,"18920 Mueschke Rd, Tomball, TX, 77377",Salvador Aragon,832-419-7016
McAllen Expressway Land,"3401 W Expy 83, McAllen, TX, 78503",Eric Ledé,956-223-0586
Lubbock Sports & Events Complex For Sale,"9002 Memphis Dr, Lubbock, TX, 79423",Harold McGee,512-626-6470
Turnkey Car Wash Portfolio in High-Traffic Beaumont Corridor,"2550 FM 365, Port Arthur, TX, 77640",Alexander Pavone,480-622-0050
Harlingen Convention Center Land,"621 US-77 Frontage Rd, Harlingen, TX, 78550",Eric Ledé,956-223-0586
Brooks St Airbnb,"1015 Brooks St, Houston, TX, 77009",Loren Miner,626-826-5906
INDUSTRIAL OUTDOOR STORAGE,"2011 S Crane Ave, Odessa, TX, 79766",Ashton Miller,214-692-2920
Charleston St Airbnb,"3741 Charleston St, Houston, TX, 77021",Loren Miner,626-826-5906
Atlas Automotive | Turnkey Business | Owner User Opportunity,"415 S Palace Ave, Tyler, TX, 75702",Neil Naran,949-332-2068
Rosewood Self Storage,"405 North St, Vidor, TX, 77662",Frank DeSalvo,813-345-5876
Southwest Oaks / Parkway Oaks,"4651 Oakwood Dr, Odessa, TX, 79761",Kirk Chudej,806-358-7151
Shalimar Apartments,"701 West North Loop Blvd, Austin, TX, 78751",Grant Mobley,512-975-2316
Odessa Smart Storage,"6825 Faudree Rd, Odessa, TX, 79765",Frank DeSalvo,813-345-5876
Sherman 61.31,"SEC U.S. 75 & Blue Flame Rd., Sherman, TX, 75090",Bobby Kearns,214-897-7333
1502 1/2 Jenkins Road,"1502 Jenkins Rd (1502 1/2 Jenkins), Pasadena, TX, 77506",ARMANDA ROMERO,832-722-2768
"Square Space Self Storage - Livingston, TX","1904 N Washington Ave, Livingston, TX, 77351",Frank DeSalvo,813-345-5876
"Old Texas Bunkhouse | 3402 Goodnight Blvd, Wills Point, TX","3402 Goodnight Blvd, Wills Point, TX, 75169",Kevin Weable,972-845-1663
Country Meadows on 604,"8092 County Rd 604, Alvarado, TX, 76009",Angela LaBounty,817-475-2397
2709 & 2713 N 30th Street,"2709 & 2713 N 30th Street, McAllen, TX, 78501",David Goldberg,312-912-3724
Abilene Land Zoned For Storage,"6018 S. Hwy 277, Abilene, TX, Abilene, 79606",Justin Beck,512-626-2587
18 Acres - 11502 Forbes Rd,"11502 Forbes Rd, Houston, TX, 77075",Glenn Dickerson,281-477-4384
HTeaO | Business & Real Estate,"530 SW Wilshire Blvd, Burleson, TX, 76028",Grayson Jones,214-226-5584
78 Quick Lube and Tire,"712 S State Hwy 78, Farmersville, TX, 75442",MaryCarmen Esteso DDS,214-284-8989
NWC Yale & I-10 (6.47 Acres),"337 Yale St, Houston, TX, 77007",Andre Azizi,281-955-3888
Mistletoe Blvd and Jerome St. Development Property,"2101 Mistletoe Blvd, Fort Worth, TX, 76110",Michael Berkowitz,817-632-6200
Turn-Key Restaurant In Weslaco,"1015 S International Blvd, Weslaco, TX, 78596",Jacob Galvan,956-363-1179
NEC of S McColl & W Alberta Rd,"S McColl Rd, Edinburg, TX, 78539",Pete Torres,956-536-8994
Chihuahua Street Apartments,"901 Chihuahua St, El Paso, TX, 79901",Michael McBroom,915-584-5511
1409 S. College & 106 Hardy,"1409 S College Ave, Bryan, TX, 77801",Sam Solcher,979-268-6840 ext- 107
Edgemere Apartments,"2500 W 26th, Plainview, TX, 79072",Greg Brownd,806-777-4459
Madison St Apartments,"1911 S Madison St, Amarillo, TX, 79109",Josh Langham,806-392-9912
