Building Name,Address,Broker,Broker Phone
Bay Point Apartments,"102 Palmetto Rd E, Nokomis, FL, 34275",Sam Ferguson,813-387-4748
Oak Terrace Apartments,"4251 SW 21st, Gainesville, FL, 32607",Brian Oen,352-698-5656
733 DR MARTIN LUTHER KING JR BLVD W,"733 Dr M.L.K. Jr Blvd W, Belle Glade, FL, 33430",Jason Souwed,561-403-4844
1708 NE 20th Ave,"1708 NE 20th Ave, Fort Lauderdale, FL, 33305",ELI HALALI,954-638-7034
Sunrise Mobile Home Park & Apartments,"3670 Dixie Hwy NE, Palm Bay, FL, 32905",Johnny Pullman,321-388-4394
108 BRIDGE STREET,"108 Bridge St, St. Augustine, FL, 32084",William Bruce,904-994-1579
West Palm 8 Flex Condos,"724 Executive Center Dr, West Palm Beach, FL, 33401",Alex Furman,617-780-1283
2755 SE 17th St,"2755 SE 17th St, Ocala, FL, 34471",Nolan Galloway,352-622-8127
Edison Park,"2237-2251 Euclid Ave, Fort Myers, FL, 33901",Sebastian Harris,813-771-0641
Porterfield Mini Storage,"1241 NW 50th Ave, Gainesville, FL, 32609",Jack Kaiser,732-742-9250
800 SW 17th Avenue,"800 SW 17th Ave, Delray Beach, FL, 33444",Chad Gottsegen,561-400-7750
LR Uniforms,"13778 SW 152nd St, Miami, FL, 33177",Chris Fucci,802-236-4224
665-695 Childs Avenue,"695 Childs Ave, Bartow, FL, 33830",Zach Brown,724-272-9001
Ella Apartments,"20 Ella St, Melbourne, FL, 32935",Johnny Pullman,321-388-4394
18916 Front Beach Rd,"18916 Front Beach Rd, Panama City Beach, FL, 32413",Bill Thomas,850-381-3156
Oakland Park Manor Apartments,"86 NE 36th Ct, Oakland Park, FL, 33334",Dan Dratch,954-312-1677
603 FRONT Street,"603 FRONT Street, WELAKA, FL, 32193",MAZIE REGAN,No Phone Number Available
734 SW 4TH ST - 9 UNITS,"734 SW 4th St, Miami, FL, 33130",Arthur Porosoff,305-209-8866
Hillside Mobile Home Park,"1247 LPGA Blvd, Daytona Beach, FL, 32117",Michael Baxter,386-999-1762
10 Single Family Rental Homes & 1 Duplex,"214 Brown Road, Pensacola, Pensacola, FL, 32507",Mehdi Moeini,850-380-0877
Fort Lauderdale Middle River Terrace Waterfront,"821 NE 18th Ct, Fort Lauderdale, FL, 33305",Greg Celentano,305-205-3291
225 N Flagler Ave,"225 N Flagler Ave, Flagler Beach, FL, 32136",Cornelia Downing Manfre CCIM,386-931-9256
West Ianthe,"321 W Ianthe St, Tavares, FL, 32778",Luis Baez,813-767-6275
"Huge 4 Unit in Prime El Portal on 18,000 sqft lot!","9302 NW 4th Ave, Miami, FL, 33150",Giovanni Bertolotti,786-229-2419
Daycare with Real Estate,"7215 Waelti Drive, Melbourne, FL, 32940",Carlos Pelaez,772-215-3436
7413 S Germer St,"7413 S Germer St, Tampa, FL, 33616",Philipp Fries,813-447-2991
Little Ranches Flats,"2414 Johnson St, Hollywood, FL, 33020",Hernando Perez,954-256-5410
"Lithia, FL: Combination MHP With Warehouse","10605 Lithia Pinecrest Rd, Lithia, FL, 33547",Benny Spensieri,813-391-1545
Ventura Apartments,"2730 Hope St, Sarasota, FL, 34231",Phil Ginexi,941-444-6160
The Flats at Boynton Beach,"627 NE 6th Ave, Boynton Beach, FL, 33435",Joseph Thomas,954-245-3481
2120 Collier Ave BLDG A & B,"2120 Collier Ave, Fort Myers, FL, 33901",Julie Clapp,561-236-9722
Central Business District,"1030 NE 43rd Ct, Oakland Park, FL, 33334",Anton Joro,954-507-5050
201 Pierce Avenue,"201 Pierce Avenue, Cape Canaveral, FL, 32920",Paige Lane,321-626-0889
Golden Gate Apartments,"4616 Golden Gate Pkwy, Naples, FL, 34116",Sam Ferguson,813-387-4748
Court View Apartments,"1411 E Mohawk Ave, Tampa, FL, 33604",Donald Turner,813-387-4718
PICO Building,"200 N Oak Ave, Sanford, FL, 32771",Matthew White,407-758-3166
Harrison Apartments,"404 Harrison Ave, Cape Canaveral, FL, 32920",Johnny Pullman,321-388-4394
Enchanted Oaks,"889 SW 165th St, Ocala, FL, 34473",TaMara York,352-804-1216
6414 Sweetbay Lane,"6414 Sweetbay Ln, Jacksonville, FL, 32244",Jayden Williams,904-829-4808
Delmar Apartments | 5plex Turnkey | Downtown Sarasota,"1236 13th St, Sarasota, FL, 34236",Rex Glasson,941-587-6135
1299 E Oakland Park Blvd,"1299 E Oakland Park Blvd, Oakland Park, FL, 33334",Richard DeGirolamo,215-680-2266
The Narrows,"6329 W Arter St, Crystal River, FL, 34429",Jeremy Lasseigne,352-586-9009
Pool of Performing 2nd Position Notes,"123 1st St, Miami Beach, FL, 33139",Derrick Barker,727-761-3877
"Ocala, FL: 20-rm Motel for Sale! Seller Financing Offered!","2210 S Pine Ave, Ocala, FL, 34471",Benny Spensieri,813-391-1545
315 Ridge Manor Dr,"315 Ridge Manor Dr, Lake Wales, FL, 33853",Austin Graham,404-445-1091
"PRIME DEVELOPMENT OPPORTUNITY IN ORLANDO, Conroy Windermere","7775 Conroy Windermere Rd, Orlando, FL, 32835",Chantal Gakwaya,407-446-0674
Indian River Lagoon view,"13395 N Indian River Dr, Sebastian, FL, 32958",Katie Parada,772-577-8970
Downtown Tampa Mixed-Use Development Opportunity,"401 S Florida Ave, Tampa, FL, 33602",Matt Hall,813-538-6844
719 Biltmore Residences,"719 Biltmore Way, Coral Gables, FL, 33134",Virgilio Fernandez,305-613-4507
837 NORTH Street,"837 NORTH Street, Jacksonville, FL, 32211",OLUFEMI OJO,No Phone Number Available
Mills Flats,"1119 S Mills Ave, Orlando, FL, 32806",N. Joe LaFleur,407-495-1728
Small Business Retail Shops,"1029 N Tamarind Ave, West Palm Beach, FL, 33401",Dana Hills,561-513-0070
E 15th Ave - Tampa - ACLF or Multi-Family Land,"3905 E 15th Ave, Tampa, FL, 33605",Elliott Ross,813-755-6700
Little Havana Multifamily Portfolio,"700 SW 4th St, Miami, FL, 33130",Virgilio Fernandez,305-613-4507
856 Margaret St Historic Church and Fellowship Hall,"856 Margaret St, Jacksonville, FL, 32204",Matt Demir,904-200-1835
6300-6314 Park Blvd N.,"6300-6314 Park Blvd N., Pinellas Park, FL, 33781",Lamar Fisher,954-942-0917
Low Touch High Income 12-Pad RV Park,"12300 OLD KINGS Road, Jacksonville, FL, 32219",Simon Garwood,904-673-8622
Blue Angel Townhomes,"7095 N Blue Angel Pkwy, Pensacola, FL, 32526",Shawn Maxey,850-240-1252
"409 4th Avenue North, Lake Worth Beach","409 4th Ave N, Lake Worth Beach, FL, 33460",Russell Goldstein,561-503-3648
2006 N Edgewood Avenue,"2006 N Edgewood Avenue, Jacksonville, FL, 32254",Matthew Fischer,No Phone Number Available
OWNER FINANCING - Neeld Gordon Warehouse,"1258 19th St N, St. Petersburg, FL, 33713",Joe Esposito,941-212-2222
6511 SAN JUAN Avenue,"6511 SAN JUAN Avenue, Jacksonville, FL, 32210",MIKE PELLICER,No Phone Number Available
Agapi Bistro and Garden & adjacent Nancy's Catering property,"3206 E De Soto St, Pensacola, FL, 32503",Cameron Cauley,850-430-1519
Heritage Key Villas,"2089 Heritage Ky Blvd, Kissimmee, FL, 34744",Rich Deptula,248-848-4938
Rare! 15 unit Multifamily!,"115 N Ridgewood Ave, Daytona Beach, FL, 32114",Dino Dodani,386-679-0888
4 T/H Luxury Living Meets Modern Utility,"214 SW 2nd Ave, Boca Raton, FL, 33432",Mayan Schwartz,561-710-1444
"6,300SF Retail/Office/Indust/Showrm 2 Lot - Biz Also 76% ROI","3625 US-19 ALT, Palm Harbor, FL, 34683",Justin Worthington,727-709-6216
E Street Warehouse and Retail Space,"2500 N E St, Pensacola, FL, 32501",Daniel Hua,850-516-9967
9477 FL A1AAlt,"9477 FL A1AAlt, Lake Park, FL, 33403",Chas Prakas,561-368-0003
Fully Entitled 28 Unit Apartment Site,"S Kanner Highway, Stuart, FL, 34997",Nikolaus Schroth,772-403-3752
Malibu House,"235 77th St, Miami Beach, FL, 33141",Damian Johnson,No Phone Number Available
"1110 North H Street, Lake Worth Beach","1110 N H St, Lake Worth Beach, FL, 33460",Russell Goldstein,561-503-3648
The Cove at Siesta Gateway,"1615 Stickney Point Rd, Sarasota, FL, 34231",Phil Ginexi,941-444-6160
Brittany's Place,"7298 Ulmerton Rd, Largo, FL, 33771","Ned Roberts, CCIM",813-387-4721
Turnkey Fully Operational Daycare,"522 NW Turner Ave, Lake City, FL, 32055",Sage Alfonso,352-316-8413
349 Self Storage,"89 SE highway 349, Old Town, FL, 32680",John Backovsky II,407-557-3812
Dania Village,"227 SE 1st St, Dania Beach, FL, 33004",Jonathan Teboul,305-607-6307
Lakeside Storage Suites,"16710 Innovation Ln, Fort Myers, FL, 33913",Justin Milcetich,239-489-4066
24 SW 21st Ave,"24 SW 21st Ave, Miami, FL, 33135",Arthur Porosoff,305-209-8866
Montclair Villas,"2125 Montclair Dr, Sarasota, FL, 34231",Phil Ginexi,941-444-6160
Callaway Development Site,"6822 FL-22, Callaway, FL, 32404","Jane H. Sauls, CCIM",770-328-2379
AIRBNBEACH WALK,"801 1st St S, Jacksonville Beach, FL, 32250",William Bruce,904-994-1579
Possible Self Storage Redevelopment,"1314 Dixon Blvd, Cocoa, FL, 32922","Vitor De Sousa, CCIM",321-419-9088
Midtown East,"3233 W Cypress St, Tampa, FL, 33607",Ari Ravi,727-452-6864
990 NW 119th St,"990 NW 119th St, Miami, FL, 33168",Chas Prakas,561-368-0003
2700 NE 135th Street,"2700 NE 135th St, North Miami, FL, 33181",Rich Deptula,248-848-4938
West Port Rental Home Portfolio,"The Hammocks West Port, PT CHARLOTTE, FL, 33953","Christi Pritchett, CCIM",239-489-4066
Pensacola STR & Long-Term Rental Portfolio,"4525 N 9th Ave, Pensacola, FL, 32503",Daniel Hua,850-516-9967
522 South Osceola Avenue,"522 S Osceola Ave, Orlando, FL, 32801",Jeffrey Bloom,407-949-0709
Stock Island Warehouse,"5511 5th Ave, Key West, FL, 33040",Sandra Swan,305-563-0053
6877 Abbott Apartments,"6877 Abbott Ave, Miami Beach, FL, 33141",Evan Kristol,954-245-3459
350 69th Street Apartments,"350 69th St, Miami Beach, FL, 33141",Evan Kristol,954-245-3459
CITY OF MIAMI SOUTH,"900 SW 5th Ave, Miami, FL, 33130",Greg Celentano,305-205-3291
"S. C 475, FL","S C 475, Bushnell, FL, 33513",Connie Mahan,352-457-7553
Jonis Pizza Italian Restaurant,"145 Hilden Rd, Ponte Vedra Beach, FL, 32081",Ika Rukhadze,904-304-3883
Lakeside Shoppes at Osceola Village Center,"S John Young Pkwy, Orlando, FL, 34741",Zack McNamara,407-458-5409
Highway 390 & 389 - Retail and MF Sites,"2604 County Rd 390, Panama City, FL, 32405",Charlie Haas,850-248-3615
Victoria Apartments - 1560 SW 5th Street,"1560 SW 5th St, Miami, FL, 33135",Ron Mann,305-490-1404
Pensacola 45-50 Residential Units Ready to Build,"1325 N 69th Ave, Pensacola, FL, 32506",Jason Chamely,954-526-3900
Cocoa FL Self Storage Development Site,"3170 Grissom Pkwy, Cocoa, FL, 32926",Josh Koerner,904-591-0140
Wilton Manors Triplex,"1725 NE 26th Dr, Wilton Manors, FL, 33334",Timothy Neal,954-568-0530
LAWRENCE ESTATE LAND CO,"221 NW 16th Ave, Miami, FL, 33125",Mauricio Villasuso,305-340-8901
SHADOWLAWN EXTENSION SUB,"11 NW 47th Ter, Miami, FL, 33127",Alex ilic,312-933-7055
Prime 49.19-Acre Cage-Free Layer Chicken Farm,"1251 Bardin Rd, Palatka, FL, 32177",Alexandra Florez,904-885-3077
"Janitorial and Pressure Washing Business, FL, USA","1565 1st St, Sarasota, FL, 34236",Skylar Adams,813-280-5468
"Power Source Industries, Sarasota, FL","1565 1st St, Sarasota, FL, 34236",Skylar Adams,813-280-5468
Admiral Apartments,"1217 Park Ave, Orange Park, FL, 32073",Sidney Jones,904-993-7964
Sarasota Duplex near Siesta Key,"1860 Southpointe Dr, Sarasota, FL, 34231",Adam Seidel,941-923-0535
Calle Ocho (Little Havana) Fourplex,"635 SW 16th Ave, Miami, FL, 33135",Sam Schwartz,773-750-3320
ALMOG STRIKOWSKI - 16890 NE 21 Ave - 818.665.9929,"16890 NE 21st Ave, North Miami Beach, FL, 33162",Arthur Porosoff,305-209-8866
"Gainesville Fl property 2.29 ac with 38,500 TPD","7904 NW 39th Ave, Gainesville, FL, 32606",John Thomas,352-538-4453
N/A,"N/A, Orlando, FL, 32824",Ana Serrat,754-302-0055
"Gainesville Fl NW 39th ave 4.58 ac ""Commercial Residential""","4016 NW 78 Terrace, Gainesville, FL, 32606",John Thomas,352-538-4453
"Gainesville FL NW 39th Ave 2.16 ac""Commercial & Residential""","4002 NW 78 Terrace, Gainesville, FL, 32606",John Thomas,352-538-4453
HAYNSWORTH BEACH SUB,"8109 Harding Ave, Miami Beach, FL, 33141",Samuel Heskiel,323-317-3197
Paver Sealing of South West Florida,"Private, Punta Gorda, FL, 33955",Manny Berrios,407-615-0515
Golden Oaks Roosevelt Shopping Center,"5917 Roosevelt Blvd, Jacksonville, FL, 32244",Matt Demir,904-200-1835
ROSEHAVEN,"10602 SW 184th St, Miami, FL, 33157",Joel Rodriguez,305-635-3005
Triplex Waterfront Maderia Beach,"14975 1st St E, Madeira Beach, FL, 33708",Maki Kubba,727-455-5541
49.43 acres,"7787 NW 150th Ave, Morriston, FL, 32668",Valerie Dailey,352-816-1080
3710 Frow Avenue,"3710 Frow Ave, Miami, FL, 33133",Franz Hoed DeBeche,786-985-9900
Price Reduced - Owner/User Industrial Office,"2495 NW 35th Ave, Miami, FL, 33142",Aaron O'Connor,954-245-3518
Ocean and Beach Airbnb! Fully Renovated! Super Income!,"2215 N Atlantic Ave, Daytona Beach, FL, 32118",Dino Dodani,386-679-0888
3344 SW 37th Ave,"3344 SW 37th Ave, Miami, FL, 33133",Franz Hoed DeBeche,786-985-9900
The Captain Billy Fulford House in Cortez Village,"4507 123rd St W, Bradenton, FL, 34210",Adam Doak,941-923-0535
Storage Florida,"1324 County Rd 621 E, Lake Placid, FL, 33852",Tom BARRETT,863-991-0337
RE-DEVELOPMENT OPPORTUNITY FOR SALE,"3361 S US Hwy 1, Fort Pierce, FL, 34982",David Stephens,772-205-9744
Opportunity Zone: 3.5Acres MOL Development Site!,"5015 Edgewater Dr, Orlando, FL, 32810",Benny Spensieri,813-391-1545
Car Lot with Inventory and Collections,"N Palafox St, Pensacola, FL, 32503",Randall Graves,850-516-6763
6.57-Acre High-Density Development Opportunity!!!,"W Irlo Bronson Memorial Hwy, Kissimmee, FL, 34746",Benny Spensieri,813-391-1545
Prime Little Havana Gem - Fully Renovated 4-Plex,"112 SW 11th Avenue, Miami, FL, 33130",Matthew Krinzman,305-303-8131
The Attic Self-Storage,"102 James St, Venice, FL, 34285",Christopher Travis,407-924-1408
1520 NW 1st St,"1520 NW 1st St, Miami, FL, 33125",Mauricio Villasuso,305-340-8901
4 Unit Investment Dream Opportunity in Little Havana,"959 SW 6th St, Miami, FL, 33130",Mauricio Villasuso,305-340-8901
"150 Pondella Rd, North Fort Myers, FL. 33903","150 Pondella Rd, North Fort Myers, FL, 33903",Rhonda Milligan,239-850-1359
"12 UNITS Active Turn Key Motel, FLORIDA.","1028 Ridgewood Ave, Daytona Beach, FL, 32117",Terry Sitaram,386-237-4444
410 Courtyard Apartments,"410 SE 13th St, Fort Lauderdale, FL, 33316",Shelby Smith,954-914-5038
PALM SPRINGS AMD,"10 W 53rd Ter, Hialeah, FL, 33012",Ileana Rodriguez,305-992-5626
Old Southeast Quad,"240 20th Ave S, St. Petersburg, FL, 33705",Davis Nunneley,727-619-4936
"Commercial BU 2 in Cocoa, FL!","3275 Lake Dr, Cocoa, FL, 32926",Scott Langston,321-403-1111
Lucille's Silver Spurs Country & Western Lounge,"3635 S Ridgewood Ave, Edgewater, FL, 32141",Julie Negovan,215-431-9295
92 Washington Street,"92 Washington St, St. Augustine, FL, 32084",Jena Dennis,904-806-4274
4737 SHIRLEY Avenue,"4737 SHIRLEY Avenue, Jacksonville, FL, 32210",Al Kekec,904-982-1400
600 Bayway Blvd Unit 504,"600 Bayway Blvd, Clearwater, FL, 33767",David Kerr,727-466-6697
Cloverport Mobile Home Park,"7650 Highway 78 W, Okeechobee, FL, 34974",Peter Dacko,954-923-2325
872 Deerwood Lane,"872 Deerwood Lane, Chipley, FL, 32428",Marcy O'Donnell,848-220-5555
5961 S A1a,"5961 S A1a, St Augustine, FL, 32080",Rich O'Brien,904-814-2080
"1 SW 129th Ave #401 • Pembroke Pines, FL","1 SW 129th Ave # 401, Pembroke Pines, FL, 33027",John DeMarco,954-453-1000
United Marble Granite & Countertops,"4051 Philips Hwy, Jacksonville, FL, 32207",Al Kekec,904-982-1400
Little Havana T6-8-O Urban Core Zone,"242 NW 12th Ave, Miami, FL, 33128",Rossana Siccardi,954-931-1229
1131 Broadway Dunedin,"1131 Broadway, Dunedin, FL, 34698",Nate Hatzie,727-612-4792
"9144 SW 49th Place, Gainesville, FL 32608","9144 SW 49th Pl, Gainesville, FL, 32608",Dan Drotos,954-551-9846
BUENA VISTA HEIGHTS EXTEN,"418 NW 47th St, Miami, FL, 33127",Claudienne Hibbert,No Phone Number Available
SAFETY HARBOR - MIXED USE - ENDLESS OPPORTUNITIES,"1055 Philippe Pkwy, Safety Harbor, FL, 34695",Tara Guideri,727-279-5115
COMMERCIAL LAUNDRY SERVICE BUSINESS,"679 Northwest Enterprise Drive Port St Lucie FL 34986, Port St. Lucie, FL, 34986",Matthew Mondo,772-236-7780
opportunity in Hot Pompano Beach,"800 SW 13th Ct, Pompano Beach, FL, 33060",Amy McGrotty,954-347-1732
Peachtree Apartments,"150 Peachtree St, Cocoa, FL, 32922",Johnny Pullman,321-388-4394
Redevelopment @ Traffic Light on Manatee Ave W & 26th St W,"422 26th St W, Bradenton, FL, 34205",Angela Varga,941-932-7131
14th Avenue Villas,"426 NW 14th Ave, Fort Lauderdale, FL, 33311",Lorenzo Rubio,561-339-9717
Glenview Inn,"101 Glenview Dr, Tallahassee, FL, 32303",Al Russell,850-508-4242
805 Wheeler St,"805 N Wheeler St, Plant City, FL, 33563",Georgette Gillis,727-584-7355
NW 54th Street Development Site,"2455 NW 54th St, Miami, FL, 33142",David Vasquez,973-594-2400
0 Unknown,"0 Unknown, Titusville, FL, 32780",W. Michael Selig,321-543-5784
CORAL TERR SEC 1,"7175 SW 23rd St, Miami, FL, 33155",Gabriela Rodino,305-338-5355
Waterfront Multi Unit / Redevelopment Opportunity,"8820 Rocky Creek Dr, Tampa, FL, 33615",Kamilla Altunyan,813-365-8765
HAVANA HOUSE,"550 SW 10th St, Miami, FL, 33130",Miguel Solis,No Phone Number Available
267 Units Lands for Development at Naranja,"SW 140th Ave, Naranja, FL, 33032","Fabio Faerman, CCIM",786-262-3771
Williston Storage,"507 SE 6th St, Williston, FL, 32696",Josh Koerner,904-591-0140
822 Grand Central ST,"822 Grand Central St, Clearwater, FL, 33756",Brian Mcbride,813-493-0507
Dumpster Hauling Business and Land.,"2585 Jmt Industrial Dr, Apopka, FL, 32703",Timothy Boon,321-246-7930
Business Opportunity,"000 W Vine St, Kissimmee, FL, 34741",Jesús Valera,407-300-6168
Flagler Village Multifamily-Mixed Use Development Site,"418 NE 2nd Ave, Fort Lauderdale, FL, 33301",George Coloney,954-801-7320
Darlington- Opportunity for Redevelopment - 7.34 Acres,"5015 Darlington Rd, Holiday, FL, 34690",Amanda Adams,No Phone Number Available
FAIRLAWN,"526 SW 64th Ave, Miami, FL, 33144",Gabriela Rodino,305-338-5355
0000 Doyle Road,"0000 Doyle Road, Deltona, FL, 32738","Daniel Lyonnais, CCIM",386-852-7932
Fourplex in Ft Lauderdale,"1185 SW 16th Ave, Fort Lauderdale, FL, 33312",Dylan Poler,954-610-6975
NAUTILUS - 9921 Gulf Boulevard,"9921 Gulf Blvd, Treasure Island, FL, 33706",Andrew Beltz,757-581-5283
Malaga Complex,"114 Malaga Pl, Panama City Beach, FL, 32413",Bill Thomas,850-381-3156
458 SW 9th St,"458 SW 9th St, Miami, FL, 33130",Sebastian Golitz,786-450-7571
Three on 18th,"216 NE 18th Ave, Pompano Beach, FL, 33060",Sophia Willets,561-269-9525
Sweetwater Campground,"9429 SW US HIGHWAY 27, Ft White, FL, 32038",Dylan Adams,904-607-6421
10 Unit Multi-Family North Miami,"14305 NE 6th Ave, North Miami, FL, 33161",David Vasquez,973-594-2400
1234 Delivery Ave,"1234 Delivery Ave, Pompano Beach, FL, 33069",John DeMarco,954-453-1000
