Building Name,Address,Broker,Broker Phone
720 SW 5th ST & 527 SW 7th CT,"720 SW 5th St, Miami, FL, 33130",Elina Stolyar,305-399-9283
Heavy Industrial Land with Rare MI2 Zoning - 5+ Acres,"1101 Albright Rd, Sanford, FL, 32771",Matthew White,407-758-3166
"324 Recker Hwy, Auburndale, FL 33823-4034","324 Recker Hwy, Auburndale, FL, 33823",Tallie Washington,407-508-4315
Lake LaBelle Villas,"8050 Cedarwood Pkwy, La Belle, FL, 33935",Zack Statlander,561-702-2015
Store with Ease,"1214 FL-44, Leesburg, FL, 34748",Darpan Patel,513-878-7723
76 Unit | Opportunity Zone Land | Edgewater,"100 NE 23rd St, Miami, FL, 33137","Fabio Faerman, CCIM",786-262-3771
645 NE 4th Ave,"645 NE 4th ave,, Fort Lauderdale, FL, 33304",Adam Docktor,954-610-0440
Pine Landing Villas,"5001 Beechcraft Way, Seffner, FL, 33584",Adam Podbelski,813-697-1475
Saba Plaza,"1055 s tamiami trl, Sarasota, FL, 34236",Loyd Robbins,941-356-9659
"Woodland Waters Boulevard, Weeki Wachee","Woodland Waters Boulevard, North Weeki Wachee, FL, 34613",Mark Ceraolo,727-224-8319
Flamingo Apartments,"35 Dufferin St, St. Augustine, FL, 32084",Brian Massey,904-229-7906
South Beach Short Term Rental Portfolio,"801 Alton Rd, Miami Beach, FL, 33139",David Cohen,305-728-5931
3191 W Nine Mile Road,"3191 W 9 Mile Rd, Pensacola, FL, 32534",Mike Russo,850-449-4030
Bacino Vista,"5126 Coronado Pkwy, Cape Coral, FL, 33904",Jesse Spencer,239-788-7820
Capri Motel & Apartments,"911 N Federal Hwy, Lake Worth Beach, FL, 33460",Kian Mclean,786-772-0713
"17929 Hunting Bow Circle, #101 & 102, Lutz, FL 33558","17929 Hunting Bow Circle, Lutz, FL, 33558",Mark Ganier,727-403-5611
Cromwell,"1614 Jefferson Ave, Miami Beach, FL, 33139",Louie Granteed,954-843-7222
Rouse Fort Pierce LLC- 250 Rouse Rd.,"250 Rouse Road, Fort Pierce, FL, 34946",T.P. Kennedy,772-473-2521
601 NE 22 Street,"601 NE 22nd St, Miami, FL, 33137",Joel Rodriguez,305-635-3005
401-411,"401 NE 22nd St, Miami, FL, 33137",Joel Rodriguez,305-635-3005
Awesome Self Storage,"6489 US-441, Okeechobee, FL, 34974",Cameron Vale,813-825-0391
Fletcher Apartments,"1950 Fletcher St, Hollywood, FL, 33020",Deme Mekras,786-671-0149
Covered Land Play Miami Airport/Civic Center Submarket-,"S Le Jeune Rd- Airport/Civic Center Submarket, Miami, FL, 33126",Rainier Sebastián León,305-970-6682
"Hard Money Lending Business, Tampa FL","Tampa Riverwalk, Tampa, FL, 33602",Skylar Adams,813-280-5468
Elite Collision Specialist Building,"2355 NW 35th Ave, Miami, FL, 33142",Aaron O'Connor,954-245-3518
Opal Gardens,"5185 W Flagler St, Miami, FL, 33134",Deme Mekras,786-671-0149
SHOVEL-READY DEVELOPMENT OPPORTUNITY IN DOWNTOWN ST. PETE!,"630 4th Ave S, St. Petersburg, FL, 33701",David Rosenthal,813-882-0884
Rouse Fort Pierce LLC- 250 Rouse Rd.,"250 Rouse Rd, Fort Pierce, FL, 34946",T.P. Kennedy,772-473-2521
Safe Harbor RV and Boat Storage,"8640 SE 147th Pl, Summerfield, FL, 34491",James Blanda,954-466-5855
10401 McKendree Rd,"10401 McKendree Rd, San Antonio, FL, 33576",Maggie McGrath,813-948-7368
North Fort Myers Mobile Home Portfolio,"2031 Buddy Ln, North Fort Myers, FL, 33917",Evan Richardson,954-245-3501
Extra Space (Managed)-Middleburg,"3764 Jacobs Xing, Middleburg, FL, 32068",William H. Sells,813-210-9633
187 Hidden Woods Place,"187 Hidden Woods Place, Melbourne, FL, 32901",Meili Viera,321-244-7653
Tower Self Storage,"4547 Voorhees Rd, New Port Richey, FL, 34653",Zachary Urow,201-572-4021
50K+ SQFT Hialeah Dev | Prime Hard Corner | 1.75M Pop,"601 W 49th St, Hialeah, FL, 33012",Kaylan Knitowski,954-312-1676
25 Luxury Townhome Development,"827 Highland Ave, Orlando, FL, 32803",Sam King,407-949-0898
"6426-6438 126th Avenue, Largo, FL 33733","6426-6438 126th Avenue North, Largo, FL, 33773",Mark Ganier,727-403-5611
Artisan Luxury Townhomes,"2400 W Tharpe St, Tallahassee, FL, 32303",Benjamin Skinner,407-557-3889
Allapattah 113 COVERED LAND,"3650 NW 20th Ave, Miami, FL, 33142",Agustin Duarte,305-450-5992
8.73-Acre Multifamily Land,"Elizabethan Dr, Orlando, FL, 32822",Edward Schmidt,305-389-3837
Hyde Park,"717 S Orleans Ave, Tampa, FL, 33606",Sanjay Amin,813-610-6392
Tapestry Tallahassee – Hotel / Multifamily / ALF Conversion,"3080 Walden Rd, Tallahassee, FL, 32317",Suraj Dalal,786-772-0718
The Palms Residences,"2701 Avenue E, Riviera Beach, FL, 33404",Evan Richardson,954-245-3501
All Aboard Storage,"4175 S Ridgewood Ave, Edgewater, FL, 32141",Meir Perlmuter,862-591-7070
Lenox Landing Apartments,"1000 Lenox Ave., Miami Beach, FL, 33139",Evan Kristol,954-245-3459
Walker Apartments,"NE 5th Pl, North Miami, FL, 33161",Evan Kristol,954-245-3459
Storage Depot of Gainesville,"2707 SW 40th Blvd, Gainesville, FL, 32608",Meir Perlmuter,862-591-7070
73.11 Acres Zoned R-2 10 units to the acre | Multifamily,"0 Navarre Pkwy, Navarre, FL, 32566",Benjamin Crosby,863-293-5600
Hotel/Mixed Use Development | Wynwood,"175 NW 27th St, Miami, FL, 33127","Fabio Faerman, CCIM",786-262-3771
St. Augustine Record Building,"154 Cordova St, St. Augustine, FL, 32084",Zach Lemke,904-501-5210
240 Harmon Avenue,"240 Harmon Avenue, Panama City, FL, 32401",Marcy O'Donnell,848-220-5555
3510 St John Street,"3510 St John Street, Panama City, FL, 32401",Marcy O'Donnell,848-220-5555
Magnolia Cove,"240 Harmon Ave, Panama City, FL, 32401",Marcy O'Donnell,848-220-5555
GROVE CENTRAL COVERED LAND,"2821 SW 27th Terrace, Miami, FL, 33133",Agustin Duarte,305-450-5992
Boynton Beach Development Site,"444 Boynton Beach Blvd, Boynton Beach, FL, 33435",William Cunningham,561-856-7982
Manatee Harmony at Braden River,"4207 FL-64, Bradenton, FL, 34208",Sean Dreznin,941-961-8199
PRINCETON TOWNHOMES,"24705 SW 129th Ave, Princeton, FL, 33032",Agustin Duarte,305-450-5992
Captain Joey D. Charters and Boat Rentals,"1345 5th Ave S, Naples, FL, 34102",FILIPPO MASTROCOLA,239-370-2319
Near Sarasota Airport 1.97 acr Res/Commercial Redevelopment,"5340 N Tamiami Trl, Sarasota, FL, 34234",Swapna Shah,813-789-4142
Hidden Woods - 15 Luxury Townhomes,"187 Lake in the Woods Dr, Melbourne, FL, 32901",Meili Viera,321-244-7653
Approved 267 Units Lands for Development at Naranja,"14201 Henderson St, Naranja, FL, 33032","Fabio Faerman, CCIM",786-262-3771
Renovated & Turnkey Apartment Building,"2011 Bay Dr, Miami Beach, FL, 33141",Sam Schwartz,773-750-3320
Premiere Coastal Redevelopment Sites on Fort Myers Beach,"1600 Estero Blvd, Fort Myers Beach, FL, 33931","Stephen A. Cunningham, MAI, SRA, CCIM",239-910-4085
Saint Johns Self Storage & Boat/RV Storage Development Site,"160 County Rd 210, St. Augustine, FL, 32095",Josh Koerner,904-591-0140
Dolphine,"223 Dolphin Pt, Clearwater, FL, 33767",Maki Kubba,727-455-5541
Renovated & Turnkey Miami Beach Apartment Building,"924 Marseille Dr, Miami Beach, FL, 33141",Sam Schwartz,773-750-3320
Greene Hill Apartments,"8021 Abbott Ave, Miami Beach, FL, 33141",Evan Kristol,954-245-3459
Prime Commercial Property in the Heart of Islamorada,"82705 Overseas Hwy, Islamorada, FL, 33036","Curtis A. Skomp, CCIM",305-304-0084
The Edge at 401,"401 W Park Ave, Tallahassee, FL, 32301","Ned Roberts, CCIM",813-387-4721
Allapattah 113 COVERED LAND,"3650 NW 20th Ave, Miami, FL, 33142",Agustin Duarte,305-450-5992
Emerald Shore Apartments,"6600 N Ocean Blvd, Boynton Beach, FL, 33435",Evan Richardson,954-245-3501
6143 Orange Drive,"6143 Orange Drive, Fort Lauderdale, FL, 33314",Daniel Daniel,954-554-0942
Marlins Park Apartments - 11 Units,"1321 NW 4th St, Miami, FL, 33125",Rafael Fermoselle,305-299-4136
Siesta Key Luxury Multifamily Portfolio,"Avenida Navarra, Siesta Key, FL, 34242",Skylar Adams,813-280-5468
Gateway to Downtown West,"300 W Lime St, Lakeland, FL, 33815","Casey Babb, CCIM",813-217-0321
"Gainesville, Fl. 9 +/- Ac Prime Development Location","8010 NW 39th Ave, Gainesville, FL, 32606",John Thomas,352-538-4453
PRIME REDEVELOPMENT OPPORTUNITY IN DOWNTOWN TAMPA,"1001 N Franklin St, Tampa, FL, 33602",Kari Lynn Grimaldi,813-882-0884
Manatee Harmony at Braden River,"4207 FL-64, Bradenton, FL, 34208",Sean Dreznin,941-961-8199
Sarasota FL: Real Estate For Sale (Current Pizza Restaurant),"6727 S Tamiami Trl, Sarasota, FL, 34231",Benny Spensieri,813-391-1545
60 units! Don't ask me for this three months later!,"Beville Rd, Daytona Beach, FL, 32117",Dino Dodani,386-679-0888
Park Manor,"2504 Park St, Jacksonville, FL, 32204",Brad McCollum,904-521-6959
240 Oleander Ave,"240 Oleander Ave, Palm Beach, FL, 33480",joacim borg,561-571-1015
Calle Ocho Multifamily & Retail - Javier Ubeda 305 766-1864,"1323 SW 8th St, Miami, FL, 33135",Arthur Porosoff,305-209-8866
Rouse Fort Pierce LLC- 250 Rouse Rd.,"250 Rouse Rd, Fort Pierce, FL, 34946",T.P. Kennedy,772-473-2521
1283 Blanding Blvd | 11.58 Acres | Will Subdivide | BB Zoned,"1283 Blanding Blvd, Orange Park, FL, 32065","Simon V. Grigoryan, MBA",904-672-1443
Riverside Flats,"700 SW 15th Ave, Fort Lauderdale, FL, 33312",Lorenzo Rubio,561-339-9717
West Port Rental Home Portfolio,"The Hammocks West Port, PT CHARLOTTE, FL, 33953","Christi Pritchett, CCIM",239-489-4066
AIRBNBEACH WALK,"801 1st St S, Jacksonville Beach, FL, 32250",William Bruce,904-994-1579
Generational South Florida Real Estate,"4319 N Ocean Dr, Lauderdale-by-the-Sea, FL, 33308",Patrick Wagor,561-427-6151
US 1 and Cottrell Avenue,"US 1 and Cottrell Avenue, Cocoa, FL, 32927",Michael Dreyer,321-508-6422
Casa Verde Condominium,"1150 93rd St, Bay Harbor Islands, FL, 33154",David Duckworth,954-938-1806
10 UNIT APARTMENT BUILDING IN ST PETE BEACH,"555 69th Ave, St. Pete Beach, FL, 33706",Pat Calhoon,727-542-0998
Heavy Industrial Land with Rare MI2 Zoning - 5+ Acres,"1101 Albright Rd, Sanford, FL, 32771",Matthew White,407-758-3166
Fontainebleau Apartments,"8501 NW 8th St, Miami, FL, 33126",David Restainer,305-482-1450
73.11 Acres Zoned R-2 10 units to the acre | Multifamily,"0 Navarre Pkwy, Navarre, FL, 32566",Benjamin Crosby,863-293-5600
1560 NW 15th St Rd,"1560 NW 15th St Rd, Miami, FL, 33125",Mauricio Villasuso,305-340-8901
Site-Approved Mixed-Use Development,"2160 SE Hillmoor Drive, Port St. Lucie, FL, 34952",Chris Belland,561-277-6613
115 INLET WAY,"115 Inlet Way, Palm Beach Shores, FL, 33404",Elena Grady,305-215-0036
21.22-Acres MOL - Assisted Living - Memory Care Development!,"Old Middleburg Rd S, Jacksonville, FL, 32222",Benny Spensieri,813-391-1545
Multifamily Land Development Opportunity- Horizon West,"14320 Avalon Rd, Winter Garden, FL, 34787",Timothy Garito,800-407-1160
3450-3470 NW 17th Ter,"3450-3470 NW 17th Ter, Oakland Park, FL, 33309",Samuel Heskiel,323-317-3197
165+/- Acres w/ Development Potential,"Silverwood Ln, Howey-in-the-Hills, FL, 34737",Dan Tatro,352-396-9136
Tapestry Tallahassee – Hotel / Multifamily / ALF Conversion,"3080 Walden Rd, Tallahassee, FL, 32317",Suraj Dalal,786-772-0718
Capri Motel & Apartments,"911 N Federal Hwy, Lake Worth Beach, FL, 33460",Kian Mclean,786-772-0713
"Thriving Title Company Serving Clearwater & Tampa, FL","Pinellas, Pinellas, FL, 33701",Skylar Adams,813-280-5468
Grove Center Condo,"2799 SW 27th Terrace, Miami, FL, 33133",Agustin Duarte,305-450-5992
322-Unit Development Site,"1801 NE 4th Ave, Miami, FL, 33132",Arthur Porosoff,305-209-8866
St James Park Flats,"1400 N 17th Ave, Hollywood, FL, 33020",Hernando Perez,954-256-5410
2121 SW 6th St,"2121 SW 6th St, Miami, FL, 33135",Mateo Romero,954-805-7078
Multifamily Shovel-Ready Lots at Pine Key,"1015-1055 Hancock Creek S Blvd, Cape Coral, FL, 33909",Jaime Oldenborg,772-370-6467
Siesta Key Point of Rocks Redevelopment Opportunity,"1101 and 1105 Point Of Rocks, Sarasota, FL, 34242",David Neff,941-448-1500
"465 Main St. Dunedin, FL 34698","465 Main St, Dunedin, FL, 34698",Bradley Meinck,727-366-2606
Blueberry Country Estates,"2811 Jelly Ln, Crestview, FL, 32539",Jonathan Howell,321-297-4512
3510 St John Street,"3510 St John Street, Panama City, FL, 32401",Marcy O'Donnell,848-220-5555
EXCLUSIVE HIGHLAND BEACH/BOCA RATON 4-PLEX WITH BOATING DOCK,"1121 Bel Air Dr, Highland Beach, FL, 33487",Harvey Heit,917-748-4810
"38746 Clinton Ave. Dade City, FL","38746 Clinton Ave, Dade City, FL, 33525",Bobby Welbourn,352-437-3027
Little River Nexus Development Site,"7050 NE 2nd Ave, Miami, FL, 33138",Jamie Maniscalco,201-264-0113
AUCTION OF 4301 NW 48th Avenue South Florida,"4301 NW 48th Ave, Lauderdale Lakes, FL, 33319",Fred DeFalco,833-243-3325
720 SW 5th ST & 527 SW 7th CT,"720 SW 5th St, Miami, FL, 33130",Elina Stolyar,305-399-9283
5931 N. ROME MULTIFAMILY,"5931 N Rome Ave, Tampa, FL, 33604",Vince Bekiempis,813-918-4947
SHOVEL-READY DEVELOPMENT OPPORTUNITY IN DOWNTOWN ST. PETE!,"630 4th Ave S, St. Petersburg, FL, 33701",David Rosenthal,813-882-0884
Federal Highway Development Site,"1050 N Federal Hwy, Hollywood, FL, 33020",Steven Chess,954-605-2800
Knights Center Apartments,"176 NE 68th St, Miami, FL, 33138",Jesse Spencer,239-788-7820
"Woodland Waters Boulevard, Weeki Wachee","Woodland Waters Boulevard, North Weeki Wachee, FL, 34613",Mark Ceraolo,727-224-8319
Assemblage in Edgewater,"600 NE 26th St, Miami, FL, 33137",Joel Rodriguez,305-635-3005
SPECTRUM AT REUNION,"7698 Tradition Blvd, Kissimmee, FL, 34747",Alex Zylberglait,786-522-7056
Elite Collision Specialist Building,"2355 NW 35th Ave, Miami, FL, 33142",Aaron O'Connor,954-245-3518
Palm Beach Gardens,"11255 Ellison Wilson Rd, North Palm Beach, FL, 33408",Tyler Sluman,941-840-3954
Lenox Landing Apartments,"1000 Lenox Ave., Miami Beach, FL, 33139",Evan Kristol,954-245-3459
Awesome Self Storage,"6489 US-441, Okeechobee, FL, 34974",Cameron Vale,813-825-0391
FL Storage Portfolio,"1029 State Rte 100, Keystone Heights, FL, 32656",Austin McLeod,404-445-1093
Lakeside Shoppes at Osceola Village Center,"S John Young Pkwy, Orlando, FL, 34741",Zack McNamara,407-458-5409
"40-UNIT DEVELOPMENT OPPORTUNITY IN DOWNTOWN CLEARWATER, FL!","504 S Myrtle Ave, Clearwater, FL, 33756",David Rosenthal,813-882-0884
Fillmore Palms,"505 Fillmore Ave, Cape Canaveral, FL, 32920",N. Joe LaFleur,407-495-1728
West Coast FL Approved 128k Sq Ft Self Storage Dev site,"6537 W Gulf to Lake Hwy, Crystal River, FL, 34429",Charles Anderson,407-721-3600
925 S K Street,"925 S K Street, Lake Worth Beach, FL, 33460","Rodger P Morelli, MBA.",561-929-7317
INVERRARY ON THE LAKE,"2561 NW 56th Ave, Lauderhill, FL, 33313",erik leon,30504504028
Uptown Suites (35 Rooms),"1503 9th St N, St. Petersburg, FL, 33704",Joshua Teplitzky,813-433-0813
Portfolio Of 28 Beach Condos In The Same Building,"9902 S Thomas Dr, Panama City Beach, FL, 32408",Mihail Stoyanov,239-298-6311
ALTOS DEL MAR,"7825 Harding Ave, Miami Beach, FL, 33141",Antonio Saladrigas,786-378-1850
7056 David Blvd,"7056 David Blvd, Port Charlotte, FL, 33981",Michael Price,239-333-4372
Highlands Aviation,"1311 Aviation Way, Avon Park, FL, 33825",Frank Casaccia,954-594-2526
Treetops Bay Condominium,"2424 Bay Drive, Other City - In The State Of Florida, FL, 34207",Sandra Osorio,305-877-4453
EUCLID MIAMI APARTMENTS,"1115 Euclid Ave, Miami Beach, FL, 33139",Damian Nusynkier,786-553-7228
605 Lincoln Rd # 500,"605 Lincoln Rd # 500, Miami Beach, FL, 33139",Mendel Fellig,305-632-8803
HAYNSWORTH BEACH TOWNHOMES,"8143 Harding Ave, Miami Beach, FL, 33141",Irena Taneva,207-546-0262
1142 S Ridgewood Avenue,"1142 S Ridgewood Avenue, Daytona Beach, FL, 32114",Sean Sedita,386-383-6376
Decroly Learning Center,"1200 NE 8th St, Homestead, FL, 33033",Joshua Kaufman,305-989-6686
13240 Port Said Rd,"13240 Port Said Rd, Opa-Locka, FL, 33054",Vicente Rodriguez,305-510-6627
Serenity Villas,"16955 SW 100th Ave, Miami, FL, 33157",Agnieszka Martin,347-448-1333
PROGRESSO,"1220-1226 NE 15th Ave, Fort Lauderdale, FL, 33304",Levi Tennenhaus,347-583-1787
235 78th St,"235 78th St, Miami Beach, FL, 33141",Antonio Saladrigas,786-378-1850
DORIAN APARTMENTS,"13201 Memorial Hwy, North Miami, FL, 33161",Damian Nusynkier,786-553-7228
300 Majorca Ave,"300 Majorca Ave, Coral Gables, FL, 33134",Landy Toledo,No Phone Number Available
1091 Galiano St,"1091 Galiano St, Coral Gables, FL, 33134",Landy Toledo,No Phone Number Available
Income in place on potential Development site,"18010 S Dixie Hwy, Miami, FL, 33157",Nathan Rodriguez,786-278-0511
BONNIE VILLA APTS CO-OP,"2000 Buchanan St, Hollywood, FL, 33020",Florence Khan,954-553-8711
LAWRENCE ESTATES LAND COS,"1362 SW 2nd St, Miami, FL, 33135",Jorge Mederos,786-261-4920
HARDING TOWNSITE,"7316 Collins Ave, Miami Beach, FL, 33141",Mark Muhlrad,305-613-4900
5925 S Hwy A1a,"5925 S Hwy A1a, Melbourne Beach, FL, 32951",Mike DeAngelo,321-313-0249
1630,"1630 NW 18th St, Miami, FL, 33125",Andreina Zambrano,786-925-5170
14437 Starkey Road,"14437 Starkey Road, Delray Beach, FL, 33446",Denise Leyendecker,561-371-4228
L'UCCELLO CONDO,"2955 Bird Ave, Miami, FL, 33133",David Nguah,786-200-3966
The Taj of The Gulf,"604 Anemone St, Panama City Beach, FL, 32413",Gene Darden,850-964-3554
BEACH VIEW SUB,"5252 La Gorce, Miami Beach, FL, 33140",Steven Yuskaitis,508-776-0608
OCEAN BEACH ADD NO 3,"734 Michigan Ave, Miami Beach, FL, 33139",Boris Jola,305-527-0235
Porfolio Of 15 Beach Condos In The Same Building,"9902 S Thomas Dr, Panama City Beach, FL, 32408",Mihail Stoyanov,239-298-6311
HAWTHORNE CENTER,"2286-2308 SE HAWTHORNE RD, GAINESVILLE, FL 32641, Gainesville, 32641",Kimberly Donato,954-605-4176
Auto Collision Repair Shop,"1041 Amber Rd, Orlando, FL, 32807",Bryan Sona,202-875-9986
129 SE 5th St # 131,"129 SE 5th St # 131, Hallandale Beach, FL, 33009",Alex Fernandez,786-487-7054
16/18/20 Inlet Pl,"16/18/20 Inlet Pl, St Augustine, FL, 32080",Zachary DiFilippo,904-810-8606
MIAMI BEACH IMPROVEMENT C,"241 28th St, Miami Beach, FL, 33140",Nelson Gonzalez,305-674-4040
Belle Haven,"601 Quay Commons, Sarasota, FL, 34236","Lee Delieto Jr., P.A.",941-957-3730
7451 Harding Ave,"7451 Harding Ave, Miami Beach, FL, 33141",Roberto Pecchi,786-564-2318
Avalon,"2251 NE 170th St, North Miami Beach, FL, 33160",De Patterson,786-457-7963
Hendricks Isle Waterfront Apartments & Docks,"37 Hendricks Isle, Fort Lauderdale, FL, 33301",Garrick Benabe,954-993-5520
NORMANDY WATERWAY SUB,"1975 Calais Dr, Miami Beach, FL, 33141",Javier Martinez,305-546-3607
POMPANO BY THE SEA,"1000-1006 N riverside dr, Pompano Beach, FL, 33062",Levi Tennenhaus,347-583-1787
NORMANDY WATERWAY SUB,"1995 Calais, Miami Beach, FL, 33141",Elena Iturriaga,786-486-7833
7805 NE Bayshore Ct,"7805 NE Bayshore Ct, Miami, FL, 33138",Michael Christin,305-431-9301
1775 Fruitville Rd,"1775 Fruitville Rd, Sarasota, FL, 34236",John Harshman,941-951-2002
Value Add Multifamily Conversion Opportunity,"1050 Ocean Shore Blvd, Ormond Beach, FL, 32176",Steffanie Ngo-Hatchie,561-881-6550
10901-10931 Royal Palm Blvd,"10901-10931 Royal Palm Blvd, Coral Springs, FL, 33065",maria bailey,954-744-6646
BANYAN PLACE AMD & EXTENS,"426 NE 26th St, Miami, FL, 33137",Carlos Visbal,305-967-2439
AMD MIAMI SUBURBAN AC,"3345 SW 22nd Ter, Miami, FL, 33145",Sandra Garcia Manzanero,954-627-4006
BRADDOCK SUB NO 4,"1630 NW 18th St, Miami, FL, 33125",Andreina Zambrano,786-925-5170
3212 NE 10th St,"3212 NE 10th St, Pompano Beach, FL, 33062",Anzhela Keusch,954-245-1159
CASA SOLANA,"943 S Atlantic Ave, Cocoa Beach, FL, 32931",Ellen Rubino,321-508-6077
NOHO District | University of Tampa Area,"202 N Oregon Ave, Tampa, FL, 33606",Garrick Sims,813-474-8505
Anastasia Apartments,"400 Anastasia Blvd, St. Augustine, FL, 32080",Luke McCann,904-422-4549
2724 NE 14th St,"2724 NE 14th St, Fort Lauderdale, FL, 33304",Oren Hilel,954-554-0124
COCONUT GR SEC 1 C GAB,"3621 Ponce De Leon Blvd, Coral Gables, FL, 33134",Lilibeth Regueiro,305-332-0545
533 & 543 Meridian Avenue,"533 Meridian Ave, Miami Beach, FL, 33139",Rosy Cancela,No Phone Number Available
IDLEWILD PARK,"111 SW 18th Ave, Miami, FL, 33135",David Olivares,786-261-4470
AZURE,"200 Azure Way, Miami Springs, FL, 33166",Beatriz Acosta-Rubio,786-519-4467
High-Density Midtown/Biscayne Blvd Development Assemblage,"3350 Biscayne Blvd, Miami, FL, 33137",Michael Hinton,305-970-0262
2625 NE 13th Ct,"2625 NE 13th Ct, Fort Lauderdale, FL, 33304",Howie Jakobi,No Phone Number Available
7300 Harding Ave,"7300 Harding Ave, Miami Beach, FL, 33141",Noel Cuarezma,786-291-1844
4271 NW South Tamiami Canal Dr,"4271 NW South Tamiami Canal Dr, Miami, FL, 33126",Javier Gomez,786-273-6643
1299 E Oakland Park Blvd,"1299 E Oakland Park Blvd, Oakland Park, FL, 33334",Richard DeGirolamo,215-680-2266
PALM BEACH-12 TOWNHOME PORTFOLIO,"1771 City Side Dr, West Palm Beach, FL, 33401",DAN ST MARTIN,786-507-5611
SUNNY ISLES INLAND,"NW 20TH AVE, Miami Gardens, FL, 33056",Danilo Cardona,305-807-0884
Rolling Oaks Cemetery,"2200 SW Del Rio Blvd, Port St. Lucie, FL, 34953",Charles D Bortz Jr.,352-256-1207
603-609 TWENTY-SECOND Street,"603-609 TWENTY-SECOND Street, St Augustine, FL, 32084",RICK MOTTOLA,904-521-3223
3215 NE 7th St,"3215 NE 7th St, Pompano Beach, FL, 33062",Elior Levi,954-743-7594
Heron House Court,"412 Frances St, Key West, FL, 33040","Team Spottswood Vazquez, Truman & Co. Real Estate",305-587-3407
Waterside Hotel & Suites,"7310 Harding Ave, Miami Beach, FL, 33141",Valentina Zima,305-300-5033
St. Johns Campground,"436 US-17, East Palatka, FL, 32131",Mort Fetterolf,305-987-6628
Spectra Broward Portfolio,"4401 NW 10th Ct, Plantation, FL, 33313",Tal Frydman,561-962-6211
OCEAN BEACH ADDN NO 3,"1124 Pennsylvania Ave, Miami Beach, FL, 33139",fabrizio passatore,305-898-7224
One Full City Block (2 +/- Acres) Downtown Tallahassee,"112 W Tennessee St, Tallahassee, FL, 32301",Bryan Cureton,850-545-3687
Boynton Beach Land,"6345 Boynton Beach Blvd, Boynton Beach, FL, 33437",Mayan Schwartz,561-710-1444
Portfolio of 10 Beach Condos in The Same Building,"9902 S  Thomas Dr, Panama City Beach, FL, 32408",Mihail Stoyanov,239-298-6311
955 SE 12th St,"955 SE 12th St, Hialeah, FL, 33010",Brandon Dagnesses,786-301-3296
The Edroy Apartments,"1200 Pennsylvania Ave, Miami Beach, FL, 33139",UGO CORTESANO,786-942-3238
BAY HARBOR ISLAND,"9950 E Bay Harbor Dr, Bay Harbor Islands, FL, 33154",Eli Eskenazi,786-449-2228
Coral Hills,"3331 Coral Hills Dr, Coral Springs, FL, 33065",Monico Aguiar,954-818-3602
Waterside Hotel,"6755 Harding Ave, Miami Beach, FL, 33141",Valentina Zima,305-300-5033
ANTIQUERA APARTMENTS,"130 Antiquera Ave, Coral Gables, FL, 33134",Vicente Rodriguez,305-510-6627
418 Adams Avenue,"418 Adams Avenue, Cape Canaveral, FL, 32920",James Edmunds,321-349-5068
G W MOODY SUBDIVISION,"14550 Mable St, Homestead, FL, 33032",Maurice Milton,305-812-4260
Beachside Hotel,"8100 Harding Ave, Miami Beach, FL, 33141",Valentina Zima,305-300-5033
WYND WOOD PARK,"280 NW 33rd St, Miami, FL, 33127",Gabriela De Marinis,786-202-9378
2020 Ponce De Leon Blvd # 102A,"2020 Ponce De Leon Blvd # 102A, Coral Gables, FL, 33134",Alexander Saieh,646-884-1826
1060 98 St,"1060 98th St, Bay Harbor Islands, FL, 33154",Kleer and Garcia Diaz / Allan Kleer and Fabian Garcia-Diaz,305-785-8013
Glades Boat Storage,"2152 Boat Yard Rd, Moore Haven, FL, 33471",Daniel Nelson,813-323-3353
3191 W Nine Mile Road,"3191 W 9 Mile Rd, Pensacola, FL, 32534",Mike Russo,850-449-4030
VUE AT BRICKELL CONDO,"1250 S Miami Ave, Miami, FL, 33130",Jose Garcia Cortell,305-300-7086
Aventura (Ojus) mixed use development site,"18370 W Dixie Hwy, North Miami Beach, FL, 33160",Gary Gross,305-588-3873
16855 NW 37th Ave,"16855 NW 37th Ave, Miami Gardens, FL, 33056",Juan Carlos Fernandez,786-553-9043
Beachside all suites hotel,"7710 Harding Ave, Miami Beach, FL, 33141",Valentina Zima,305-300-5033
The White House Apartments,"1600 Pennsylvania Ave CONDOMINIUM, Miami Beach, FL, 33139",UGO CORTESANO,786-942-3238
721 W Hallandale Beach Blvd,"721 W Hallandale Beach Blvd, Hallandale Beach, FL, 33009",Andrei Karpov,No Phone Number Available
Bay Harbor Dry-lot Development Land,"1040 94th Street, Bay Harbor Islands, FL, 33154",Richard Sragowicz,305-333-0183
CITY OF MIAMI SOUTH,"440 SW 5th Ave, Miami, FL, 33130",Ethelbert Bascom,305-815-5933
251 Bradley Place,"251 Bradley Place, Palm Beach, FL, 33480",Brooke Murphy,No Phone Number Available
Satinwood House,"14284 SATINWOOD Drive, Jacksonville, FL, 32224",LAURA JEAN STRADER,No Phone Number Available
GARDEN SUB AMD PL,"3921 N Meridian Ave, Miami Beach, FL, 33140",Gustavo Gutierrez,561-598-9505
5.45-Acre Industrial Site,"5371 Young Pine Rd, Orlando, FL, 32829",Tommy Pinel,321-221-5715
737 Arbor Lake Drive,"737 Arbor Lake Dr, Crestview, FL, 32536",Dennis Fortenberry,850-428-3688
