Building Name,Address,Broker,Broker Phone
Turn-Key Vape/Smoke Shop Operation For Sale With Inventory,"3706 Navy Blvd, Pensacola, FL, 32507",Faith Morgan,850-889-2571
Childcare Facility with Real Estate,"370 N Banana River Dr, Merritt Island, FL, 32952",Carlos Pelaez,772-215-3436
"Daytona Beach Short Term Rental Portfolio, 6 condos","2043 S Atlantic Ave, Daytona Beach, FL, 32118",Andy Tolbert,407-260-8800
1125 Olive Street,"1125 Olive St, Lakeland, FL, 33815",Donald Turner,813-387-4718
MAYFAIR SUB,"1410 Altaloma Ave, Orlando, FL, 32803",Kenny Ramos,855-572-6670
PINE ACRES,"1024 TUCKER AV., Other City - In The State Of Florida, FL, 32807",Pamela Olson,954-709-9997
Wyatt Springs Apartments,"1115 Wyatt St, Clearwater, FL, 33756",Kyle Keelan,727-251-5953
3575 US-441,"3575 US-441, Lake City, FL, 32025",ELIZABETH MOSES,904-545-4241
1.99 acre/2 parcels Prime Development Opportunity in JAX FL!,"Robena Rd, Jacksonville, FL, 32218",Matt Demir,904-200-1835
1130 N MARKET ST Street,"1130 N MARKET ST Street, Jacksonville, FL, 32206",Stavros Adonis Mallios,904-348-0109
926 West Apartments,"928 16th St W, Bradenton, FL, 34205",Phil Ginexi,941-444-6160
1434 BERNITA Street,"1434 BERNITA Street, Jacksonville, FL, 32211",ALEKSANDR APARNEV,No Phone Number Available
Upgraded 2-Unit Condo Portfolio,"4215 S Semoran Blvd, Orlando, FL, 32822",George Bateman,334-268-1737
Multi Family Investment in Pensacola!,"907 N 57th Ave, Pensacola, FL, 32506",Wendi Summers,850-712-7567
Pool of Performing 2nd Position Notes,"123 1st St, Miami Beach, FL, 33139",Derrick Barker,727-761-3877
Business For Sale,"2364 N Hwy A1A, Indialantic, FL, 32903",Rob Beckner,321-722-0707
1018 Cutter Way Storage,"1018 Cutters Way, South Daytona, FL, 32119",Ray Joy,386-401-1000
1299 E Oakland Park Blvd,"1299 E Oakland Park Blvd, Oakland Park, FL, 33334",Richard DeGirolamo,215-680-2266
Established Smoke Shop,"914 SW Gatlin Blvd, Port St. Lucie, FL, 34953",Carlos Pelaez,772-215-3436
Downtown Tampa Mixed-Use Development Opportunity,"401 S Florida Ave, Tampa, FL, 33602",Matt Hall,813-538-6844
719 Biltmore Residences,"719 Biltmore Way, Coral Gables, FL, 33134",Virgilio Fernandez,305-613-4507
Duplex,"26671 Sherwood Ln, Bonita Springs, FL, 34135",Dmitriy Khamitov,239-248-5530
Duplex-Income Producing Investment Property,"1001 SW 61st St, Gainesville, FL, 32607",Marlon Bruce,352-502-5407
526 Mason Avenue,"526 Mason Avenue, Daytona Beach, FL, 32117",Ray Joy,386-401-1000
Small Business Retail Shops,"1029 N Tamarind Ave, West Palm Beach, FL, 33401",Dana Hills,561-513-0070
Marianna Storage Solutions,"3950 Old Cottondale Rd, Marianna, FL, 32448",Rick Bettencourt,772-643-0889
K St Apartments,"920 S K St, Lake Worth Beach, FL, 33460",Evan Richardson,954-245-3501
500 E Woolbright Rd,"500 E Woolbright Rd, Boynton Beach, FL, 33435",Chas Prakas,561-368-0003
PROGRESSO,"1013 NE 3rd Ave, Fort Lauderdale, FL, 33304",Terri Dominguez,305-479-3144
1330 NW 54th St Miami,"NW 54th St, Miami, FL, 33142",Jacqueline Danzer,305-213-2393
"Established Multi-Location Laundromat, Tampa Bay, FL","Tampa Bay Area, Tampa, FL, 33603",Skylar Adams,813-280-5468
Crawfordville Multifamily,"Crawfordville Rd, Tallahassee, FL, 32305",Tracy Waters,850-545-2282
Prime Corner Restaurant & Bar Opportunity,"801 E Atlantic Ave, Delray Beach, FL, 33483",Chas Prakas,561-368-0003
Lake Howard Apartments,"631 Ave H NW, Winter Haven, FL, 33881",Tito Urbano,407-907-0350
Heritage Key Villas,"2089 Heritage Ky Blvd, Kissimmee, FL, 34744",Rich Deptula,248-848-4938
QUICK SALE! 39 INCOME PRODUCING UNITS - NO LAND,"11240 N Northwood Dr, Inglis, FL, 34449",Dan Shimasaki,352-361-4947
Near Airport Pensacola Land,"6000 Hermitage Dr, Pensacola, FL, 32504",Daniel Hua,850-516-9967
Sushi Restaurant Business Sale,"Stuart, Stuart, FL, 34994",Carlos Pelaez,772-215-3436
9 Mile Pensacola Restaurant,"E 9 Mile Rd, Pensacola, FL, 32514",Daniel Hua,850-516-9967
FULLY BUILTOUT MARTINI BAR LEASE & INVENTORY,"1989 NE Jensen Beach Blvd, Jensen Beach, FL, 34957",Matthew Mondo,772-236-7780
Auto Repair Biz for Sale,"6th Ave N, Lake Worth Beach, FL, 33460",Ademil Castrillo,772-201-6212
6423 N 12th Ave.,"6423 N 12th Ave, Pensacola, FL, 32504",Daniel Hua,850-516-9967
65 Hollywood Blvd,"65 Hollywood Blvd, West Melbourne, FL, 32904",Rob Beckner,321-722-0707
Duplex-Income Producing Investment Property,"925 SW 61st St, Gainesville, FL, 32607",Marlon Bruce,352-502-5407
AIRBNBEACH WALK,"801 1st St S, Jacksonville Beach, FL, 32250",William Bruce,904-994-1579
Pensacola Multi-Unit Residential & Storefront,"127 W Belmont St, Pensacola, FL, 32501",Daniel Hua,850-516-9967
2700 NE 135th Street,"2700 NE 135th St, North Miami, FL, 33181",Rich Deptula,248-848-4938
Profitable Mexican Restaurant Business Asset,"Profitable Mexican Restaurant Business Asset, Port St. Lucie, FL, 34952",Ademil Castrillo,772-201-6212
West Port Rental Home Portfolio,"The Hammocks West Port, PT CHARLOTTE, FL, 33953","Christi Pritchett, CCIM",239-489-4066
Gym and Apartment,"113 SW 5th Ave, Okeechobee, FL, 34974",Brandon Tucker,863-634-6796
American Wheelchairs,"12547 66th street, Largo, FL, 33771",Georgette Gillis,727-584-7355
Daytona Beachside Residential Professional,"20 N Halifax Ave, Daytona Beach, FL, 32118","Carl Lentz IV, CCIM",386-566-3726
Lakeside Shoppes at Osceola Village Center,"S John Young Pkwy, Orlando, FL, 34741",Zack McNamara,407-458-5409
Surf Shop,"307 Lytle Ave, New Smyrna Beach, FL, 32168",Andrew Max,386-538-6666
CARMEL PARK,"2460 Fabry Circle, Other City - In The State Of Florida, FL, 32817",Damian Zapata,786-234-5546
CARMEL PARK,"2428 Fabry, Other City - In The State Of Florida, FL, 32817",Damian Zapata,786-234-5546
Prime Restaurant/Bar location for lease,"2710 N Roosevelt Blvd, Key West, FL, 33040","Curtis A. Skomp, CCIM",305-304-0084
Midtown Miami,"3301 NE 1st Ave, Miami, FL, 33137","Andreina ""Andy"" Moyssidis",305-322-0474
Wilton Manors Triplex,"1725 NE 26th Dr, Wilton Manors, FL, 33334",Timothy Neal,954-568-0530
2554 BEARSS AVENUE,"2554 E Bearss Ave, Tampa, FL, 33613",Bradley Meinck,727-366-2606
"Profitable Event Rental Business in Clearwater, FL","S Osceola Ave, Clearwater, FL, 33756",Skylar Adams,813-280-5468
Turnkey Home Watch Business in Sarasota & Lakewood Ranch,"S Orange Ave, Sarasota, FL, 34236",Skylar Adams,813-280-5468
Established Deli Shop - Prime Location & Loyal Customer Base,"701 W Jefferson St, Brooksville, FL, 34601",Skylar Adams,813-280-5468
Turnkey Profitable Pressure Washing Business,"Undisclosed, Lithia, FL, 33547",Denise Houghtaling,239-822-8015
"826 N 26th Ave, Hollywood, FL 33020","826 N 26th Ave Unit A, Hollywood, FL, 33020",George Coloney,954-801-7320
5128 S Fairway Dr,"5128 S Fairway Dr, Punta Gorda, FL, 33982",Edward Blackburn,239-777-7020
5136 S Fairway Dr,"5136 S Fairway Dr, Punta Gorda, FL, 33982",Edward Blackburn,239-777-7020
5310 S Fairway Dr,"5310 S Fairway Dr, Punta Gorda, FL, 33982",Edward Blackburn,239-777-7020
438 Granada Blvd,"438 Granada Blvd, North Port, FL, 34287",Regina Melman,941-525-6818
GOLF CART & CO. LLC. (BUSINESS ONLY-ASSET SALE),"1629 Ridgewood Ave, Daytona Beach, FL, 32117",Pete Klironomos,386-295-9299
Growing B2B Screen-Printing Business For Sale!,"2103 Corporate Dr, Boynton Beach, FL, 33426",Josh Sagman,561-388-8888
19 Tenants Approved Room & Boarding House,"201 Withheld Address, Leesburg, FL, 34748",Sunny Gandhi,407-395-4422
"21 N Croft Ave, Inverness, FL 34453","21 S Croft Ave, Inverness, FL, 34453",Bruce Brunk,352-637-2777
Ocean and Beach Airbnb! Fully Renovated! Super Income!,"2215 N Atlantic Ave, Daytona Beach, FL, 32118",Dino Dodani,386-679-0888
Health & Fitness Business in Weston,"2750 Glades Cir, Weston, FL, 33327","Joe Pelayo, CCIM, SIOR, CIPS",954-224-8773
The Bud shop,"2800 N Federal Hwy, Boca Raton, FL, 33431","Paul Lepine, CCIM",954-540-2076
Undisclosed,"Undisclosed, Miami Gardens, FL 33016, FL, 33016",Roberta Caputo,954-596-8060
6.57-Acre High-Density Development Opportunity!!!,"W Irlo Bronson Memorial Hwy, Kissimmee, FL, 34746",Benny Spensieri,813-391-1545
Profitable Turnkey Restaurant Franchise with Prime Location!,"Jacksonville, FL, Jacksonville, FL, 32250",Alexandra Florez,904-885-3077
Offroad Powersports Business,"27058 83rd Pl, Branford, FL, 32008",Debi Bennefield The Stewart Team at RRG,386-487-3950
Dental Lab Assets and Route,"Confidential, Confidential, FL, 01234",Alan Kronenberg,813-892-6651
Prime Pensacola Commercial Opportunity,"4401 W Jackson St, Pensacola, FL, 32506",Faith Morgan,850-889-2571
NO SUBDIVISION,"5409 Phillips ST, Other City - In The State Of Florida, FL, 33922",Rosaura Palermo,239-895-5053
41 SW Seminole St # 210,"41 SW Seminole St # 210, Stuart, FL, 34994",Bernadette Bunch,772-200-4191
1 +/- Acre Vacant Land Center of Kissimmee,"400 Greenup St, Kissimmee, FL, 34744",Teresa Reilly-O'Doherty PA,407-908-6671
Corleone Italian Cuisine,"8621 S U.S. Hwy 1, Port St. Lucie, FL, 34952",Jenny Lewis,772-985-6622
Pizzeria Restaurant Lease Acquisition & Business Sale,"872 St Lucie W Blvd, Port St. Lucie, FL, 34986",Matthew Mondo,772-236-7780
"401 N 6th Ave. Wauchula, FL 33873","401 N 6th Ave, Wauchula, FL, 33873",Colon Lambert,863-781-1103
BUEN CAFE / LATIN FOOD OR ANY OTHER TYPE OF FOOD RESTAURANT,"103 Ambersweet Wy, Davenport, FL, 33897",ADRIANA MURCIA PA,352-217-8200
Rare Channelside 2nd Gen Restaurant Space,"Confidential, Tampa, FL, 33602",Alan Kronenberg,813-892-6651
12210 Genoa Drive,"12210 Genoa Dr, North Port, FL, 34287",Regina Melman,941-525-6818
Wonderland Town Center Mixed Use Development,"4710 S Washington Ave, Titusville, FL, 32780",Carol Bauman,321-600-4200
"305-307 Hightower Ave S, Lehigh Acres, FL 33973","305 Hightower Ave S, Lehigh Acres, FL, 33973",jessica catana,239-375-8775
Lakeside Crossing,"701 S Madison Ave, Clearwater, FL, 33756",David Kerr,727-466-6697
440 S Caroline Street,"440 S Caroline Street, Daytona Beach, FL, 32114",Walter Borgen,386-334-4809
University Parc 2 Unit Portfolio,"7085 Nova Dr, Davie, FL, 33317",Mariano Saal,305-918-2627
WINONA PARK 1ST ADDN,"7230 NW 3rd St, Miami, FL, 33126",Gabriela Rodino,305-338-5355
3 Buildings,"4225 McKethan Rd (HWY 98), Dade City, FL, 33523",Frank Leto,813-961-9268
3 Homes on Tracy Street,"900 N Tracy St, Bonifay, FL, 32425",Brett House,850-398-8898
2728 NW 3rd St,"2728 NW 3rd St, Miami, FL, 33125",Alessandro Lima,305-281-4469
Income-Producing - fully remodeled Duplex For Sale,"315 SE 24th Ave, Cape Coral, FL, 33990",Jacqueline Danzer,305-213-2393
BELLCAMP MANOR,"401 NW 81st St, Miami, FL, 33150",Joel Rodriguez,305-635-3005
Leisure Lane Lake Wales Development Opportunity,"10721 Leisure Ln E, Lake Wales, FL, 33898",Coach Cook,813-319-6461
Excellent Location CBD / THC Store For Sale,"6355 Naples Blvd, Naples, FL, 34109",Michael Mahan,239-230-2189
526 Mason Avenue,"526 Mason Ave, Daytona Beach, FL, 32117",Ray Joy,386-401-1000
WESTDALE 2ND AMD PL,"5520 NW 7th Ct, Miami, FL, 33127",Claudienne Hibbert,No Phone Number Available
Clearwater Business District Redevelopment Opportunity,"409 S Madison Ave, Clearwater, FL, 33756",John Quattrocki,727-784-1007
Airbnb allowed!DUPLEX PALM COAST FLORIDA,"15 Prospect Ln, Palm Coast, FL, 32164",Dino Dodani,386-679-0888
Full Duplex - Beachside - Ormond Beach,"7 Cypress Cir, Ormond Beach, FL, 32176",Matthew White,407-758-3166
Ft. Pierce Gas,"7301 Indrio Rd, Fort Pierce, FL, 34951",Gilbert Sang,786-281-1004
"1442 S Dixie Hwy, Lake Worth, FL 33460","1442 S Dixie Hwy, Lake Worth, FL, 33460",Christopher Fleming,561-707-5120
Value Add Opportunity - 5 Unit Multifamily,"2613 NW 18th Terrace, Oakland Park, FL, 33311",Matthew Rotolante,305-235-1500
Zoned Mixed Use - Income-Producing property,"1330 NW 54th St, Miami, FL, 33142",Jacqueline Danzer,305-213-2393
Trophy Income-Producing Vacation Rentals - FL Keys,"101 11th Street Ocean, Marathon, FL, 33050",Brian Capo,407-404-1846
1.24 Acres of Commercial Land Near NAS Pensacola,"10 Patton Dr, Pensacola, FL, 32507",Robert Bell,850-434-3434
101294 . Dynamic SFR Scattered Across Florida,"101294 . Dynamic SFR Scattered Across Florida, Citrus Springs, FL, 34434",Tom Johnston,602-825-1780
415 BRADDOCK AVE,"415 Braddock Ave, Daytona Beach, FL, 32118",Matthew White,407-758-3166
Luther Multi-Family Parcel,"2150 Luther Rd, Punta Gorda, FL, 33983",Jesse Ialuna,978-496-5436
SR 301 & Florida 's Turnpike Retail - Ground Lease/BTS,"Florida's Turnpike, Wildwood, FL, 34785",Daniel Earles,813-424-2500
2UNITS!OUTSIDE Brown&Brown complex&Daytona downtown project,"230 Michigan Ave, Daytona Beach, FL, 32114",Dino Dodani,386-679-0888
Profitable Italian Restaurant for Sale in Longwood FL,"Longwood, FL (Seminole County), Longwood, FL, 32750",Matt Demir,904-200-1835
1.79 Acres SW Hwy 200 Zoned B-4,"0000 Sw Hwy 200, Ocala, FL, 34481",Dan Tatro,352-396-9136
PRIME RTE. 60 MULTI-FAMILY SITE,"7775 20th St, Vero Beach, FL, 32966",Billy Moss,772-713-4471
1425 CLEVELAND Street,"1425 CLEVELAND Street, Jacksonville, FL, 32209",JARED JONES,No Phone Number Available
"The Cashflow Cove, East Pomppano, Florida","180 NW 18th St, Pompano Beach, FL, 33060",Neisy Nieto,305-699-1508
828 ACOSTA Street,"828 ACOSTA Street, Jacksonville, FL, 32204",Steven McAdoo,904-574-7400
903 SW 13TH COURT - GROUND UP DEVELOPMENT,"903 SW 13th Ct, Miami, FL, 33135",Ken Wellar,215-454-2879
1651 NW 3RD STREET - GROUND UP DEVELOPMENT,"1651 NW 3rd St, Miami, FL, 33125",Ken Wellar,215-454-2879
650 BEACOM BOULEVARD - GROUND UP DEVELOPMENT,"650 Beacom Blvd, Miami, FL, 33135",Ken Wellar,215-454-2879
2534 SW 6TH STREET - GROUND UP DEVELOPMENT,"2534 SW 6th St, Miami, FL, 33135",Ken Wellar,215-454-2879
ARCH CREEKS ESTATES,"1491 NE 143rd St, Miami, FL, 33161",Daniel Silverstein,305-528-5371
Hair and Nail Salon Business and Assets for Sale,"Miami Dade County, Hialeah, FL, 33016",Vincent Borriello,772-212-0726
2307 GILMORE Street,"2307 GILMORE Street, Jacksonville, FL, 32204",Steven McAdoo,904-574-7400
Mi Isla Pizzeria Cubana,"1209 S Military Trl, West Palm Beach, FL, 33415",Mairelys Salazar,786-927-1340
Turn-Key Nail Salon Business,"14980 SW Monroe Ave, Indiantown, FL, 34956",Stephen Peregoy,No Phone Number Available
Unique Land Offering Directly Lining High-Traffic I-275 Ramp,"705 E Wilma St, Tampa, FL, 33612","Brian T. Hahs, PA",813-928-0255
FAIRLAWN,"31 SW 62nd Ct, Miami, FL, 33144",Alessandro Lima,305-281-4469
31 SW 62nd Ct,"31 SW 62nd Ct, Miami, FL, 33144",Alessandro Lima,305-281-4469
86 & 88 Duero Street,"88 Duero St, St Augustine, FL, 32084",Jena Dennis,904-806-4274
SALON FOR SALE IN EDGEWATER PRIME LOCATION,"NE 19th St, Miami, FL, 33132",Oz Cervinka,747-267-9222
Tbd Little League Lane,"Tbd Little League Lane, Titusville, FL, 32780",Cody Spaur,321-501-6951
1249 Capricorn Blvd - Palm View Cove,"1249 Capricorn Blvd, Punta Gorda, FL, 33983",Gary Tasman,239-489-3600
"Freestanding, Multifamily in Studio City","1238 NE 7th Ave, Fort Lauderdale, FL, 33304",Jaime Sturgis,954-595-2999
815 9th Street SW,"815 9th Street SW, Vero Beach, FL, 32962",Richard McKinney,772-607-9600
3408 MAYFLOWER Street,"3408 MAYFLOWER Street, Jacksonville, FL, 32205",Steven McAdoo,904-574-7400
758 ACOSTA Street,"758 ACOSTA Street, Jacksonville, FL, 32204",Steven McAdoo,904-574-7400
1637 W MADISON Street,"1637 W MADISON Street, Starke, FL, 32091",MeLissa Pellerito,352-494-1829
308 Adeline Street,"308 Adeline Street, Daytona Beach, FL, 32114",Beau Warren,386-589-5754
11247 Pendleton Avenue,"11247 Pendleton Ave, Englewood, FL, 34223",Regina Melman,941-525-6818
kIM G REAVIS CABUNETS INC,"7039 Jefferson St, NEW PRT RCHY, FL, 34652",Gus Jadoun,727-457-9540
High-Profit Estate Liquidation Company. Scalable Model.,"Undisclosed, Broward County, FL, 33009",Brian Zoberg,305-301-2443
High-Profit Estate Liquidation Company. Scalable Model.,"Confidential, Miami, FL, 33131",Brian Zoberg,305-301-2443
0 Ridgewood Avenue,"0 Ridgewood Avenue, Daytona Beach, FL, 32117",Beau Warren,386-589-5754
00 S Nova Road,"00 S Nova Road, Port Orange, FL, 32129",Beau Warren,386-589-5754
0 Kingston Avenue,"0 Kingston Avenue, Daytona Beach, FL, 32114",Bo Bofamy,386-795-7060
Publix plaza restaurant for sale in Daytona - Asset sale -,"1500 Beville Rd, Daytona Beach, FL, 32114",Franco Massacessi,321-368-8846
ROSEHAVEN,"10601 SW 184th St, Cutler Bay, FL, 33157",Joel Rodriguez,305-635-3005
ROSEHAVEN,"10531 SW 184th St, Cutler Bay, FL, 33157",Joel Rodriguez,305-635-3005
BISCAYNE PARK DUPLEX,"12055 NE 9th Ave, Biscayne Park, FL, 33161",Eliu Dreszer,305-794-1535
ROSEHAVEN,"18350 SW 105th Ave, Miami, FL, 33157",Joel Rodriguez,305-635-3005
Automotive Machine Shop,"651 N Ferdon Blvd, Crestview, FL, 32536",Janet Johnson,850-240-7575
St Pete Beach Residential Homes,"310 79th Ave, St. Pete Beach, FL, 33706",Alon Varsha,818-536-1752
"301 N COOPER STREET, NEW SMYRNA BEACH, Florida 32169","301 N Cooper St, New Smyrna Beach, FL, 32169",Chad Erickson,386-689-5825
Windermere Investment Townhome,"13727 Bressler Aly, Windermere, FL, 34786",Nick Vaseloff,689-202-8487
ROSEHAVEN,"10541 SW 184th St, Cutler Bay, FL, 33157",Joel Rodriguez,305-635-3005
Prominent Mediterranean Restaurant situated on speedway.,"919 W International Speedway Blvd, Daytona Beach, FL, 32114",Dino Dodani,386-679-0888
324 Cooper St,"324 Cooper St, Punta Gorda, FL, 33950",Alex Rich,954-554-1526
Custom Window Treatment,"Sans Souci Blvd, North Miami, FL, 33181",Ana Serrat,754-302-0055
Established Pharmacy with Specialty Component & Insurances.,"fort laud, Fort Lauderdale, FL, 33316",Brian Zoberg,305-301-2443
Extra Space Storage (3rd Party Managed),"9419 Moccasin Wallow Rd, Parrish, FL, 34219",Zachary Urow,201-572-4021
LEBANESE RESTAURANT IN ORLANDO,"Semoran Blvd, Orlando, FL, 32822",ADRIANA MURCIA PA,352-217-8200
Action Signs -107 Polk Ave.,"107 E Polk Ave, Lake Wales, FL, 33853",Brandy Duncan,863-585-6849
"Ice Cream Store in Key West, Florida","First St, Key West, FL, 33040",Michael Mahan,239-230-2189
5plex,"31 Edmund Rd, West Park, FL, 33023",Daniel Daniel,954-554-0942
Eco Dry Cleaners,"123 Main St, Port St. Lucie, FL, 34983",Martin French,772-261-0763
Private Fitness Studio,"4960 SW 52nd St, Davie, FL, 33314",Yuliya Sidorevskaya,305-340-1857
Kafe del Puerto,"7000 N Atlantic Ave, Cape Canaveral, FL, 32920",Luiz Santos,321-412-3363
restaurant for sale downtown,"128 W Church St, Orlando, FL, 32801",Franco Massacessi,321-368-8846
"818-820 Filmore Ln, Duplex","820 Filmore Ln, Orange Park, FL, 32073",Tyrone Jackson,904-222-5351
Bay Vista Park Wynwood Norte,"321 NW 37th St, Miami, FL, 33127",Steve Epstein,305-546-5132
ROSEHAVEN,"10521 SW 184th St, Cutler Bay, FL, 33157",Joel Rodriguez,305-635-3005
