Building Name,Address,Broker,Broker Phone
OKC Portfolio,"2321 N Meridian Ave, Oklahoma City, OK, 73107",Alan Larsen,801-608-7349
19th ST Airbnbs,"3033 NW 19th St, Oklahoma City, OK, 73107",Alexis Burckart,405-641-8490
Creekside Apartments,"5700 S Agnew Ave, Oklahoma City, OK, 73119",Nathan Farha,316-262-0000
70 Units - Class B Portfolio,"103 Bluejay Blvd, Geronimo, OK, 73543",Eva Wills,405-417-0141
34Lux Apartments,"5800 NW 34th St, Oklahoma City, OK, 73122",Jay Patel,405-397-0475
South Shore,"616 SW 59th St, Oklahoma City, OK, 73109",Eva Wills,405-417-0141
Ada RV Park Portfolio,"14256 County Rd 1554, Ada, OK, 74820",Jake McClure,405-928-8737
"12 Unit, Turnkey, Short Walk from Downtown Property","803 E Florida St, Durant, OK, 74701",Carol Layman,903-814-8845
Red Rock Canyon Adventure Park,"116 Red Rock Canyon Rd, Hinton, OK, 73047",Jon Fisher,217-202-0924
21 Unit Multifamily - 5 Minutes from OU!,"515 E Alameda St, Norman, OK, 73071",Ernie DeBernard,405-401-2129
Tulsa Self Storage Units and Parking,"1540 N Yale Ave, Tulsa, OK, 74115",Danny Cunningham,817-932-6141
Utica Townhomes,"6710 S Utica Pl, Tulsa, OK, 74136",Nick Lancetti,980-999-0399
Multi-Use church on 2.11 Acres,"2121 S Memorial Dr, Tulsa, OK, 74129",steve dakil,918-451-7770
Historic Anne's Bakery,"7 N Harvard Ave, Tulsa, OK, 74115",Donald Hayes,405-417-5263
Sterling Heights Apartments,"3038 S 101st E Ave, Tulsa, OK, 74129",Garrett Huie,918-557-6897
Air-Conditioned Storage Building,"2024 N Maplewood Ave, Tulsa, OK, 74115",steve dakil,918-451-7770
Legacy @ 49th,"7845 E 49th St, Tulsa, OK, 74145",Jason Turner,918-671-7272
Kensington Rental Estates,"1201 Kensington Ln, Elgin, OK, 73538",Eva Wills,405-417-0141
1960 W Houston Street,"1960 W Houston St, Broken Arrow, OK, 74012",Russ Didlake,580-763-2760
5+ SFR/BTR in OKC - Single Family Homes,"Multiple Properties, OKC Metro, OK, 73003",Garrett Finnell,405-879-1171
Trails End,"2503 W 58th St, Stillwater, OK, 74074",Tori Thompson-Meyer,405-550-4474
Echo Trail,"6326 S 107th E Ave, Tulsa, OK, 74133",David Dirkschneider,405-514-0340
Ardmore Self Storage Portfolio,"3336 S Commerce St, Ardmore, OK, 73401",David Perlleshi,914-365-0752
East Terrace Apartments,"1501 E Bradley Ave, Ponca City, OK, 74604",David Dirkschneider,405-514-0340
Pryor Land Development Site,"US-69, Pryor, OK, 74361",David Dirkschneider,405-514-0340
BIXBY EXPRESS CAR WASH,"8112 East 111th St S, Bixby, OK, 74008",Simon Assaf,949-873-0275
Running Wild Catering,"3830 N Maney St, Oklahoma City, OK, 73112",Mitch Hammack,405-312-2512
Pioneer Apartments,"715 Monument Rd, Ponca City, OK, 74604",Sheri Dawn Proctor,316-682-5200
Blackwelder Fourplex,"1138 N Blackwelder Ave, Oklahoma City, OK, 73106",Alexis Burckart,405-641-8490
KYLE DRIVE DUPLEX EDMOND OKLAHOMA,"924 Kyle Dr, Edmond, OK, 73025",Alexis Burckart,405-641-8490
Arda Building - Value-Add Downtown Investment,"1222 10th St, Woodward, OK, 73801",Spencer O'Donnell,714-400-6267
Geronimo Winds Apartments,"103 Blue Jay Blvd., Geronimo, OK, 73543",Eva Wills,405-417-0141
South Wood Apartments,"42900 S County Rd 205, Woodward, OK, 73801",Elliott Barzilli,817-932-6124
Country Plaza,"7295 E US Hwy 270, McAlester, OK, 74501",Kevin Beaty,918-916-5067
4 Single Family Homes in Hydro,"419 E 5th St, Hydro, OK, 73048",Christy Green,580-302-3210
120 McKenzie - Duplex,"120 McKenzie Cir, Weatherford, OK, 73096",Christy Green,580-302-3210
Southwestern Lanes,"123 S Broadway St, Weatherford, OK, 73096",Christy Green,580-302-3210
4001 NW Ozmun Ave,"4001 NW Ozmun Ave, Lawton, OK, 73505",Melissa Busse,580-353-6100
"32 Unit Multifamily Portfolio in Lawton, OK","32 Unit Multifamily Portfolio in Lawton, OK, Lawton, OK, 73505",Melissa Busse,580-353-6100
"100 Unit Multifamily Portfolio in Lawton, OK","100 Unit Multifamily Portfolio in Lawton, OK, Lawton, OK, 73505",Melissa Busse,580-353-6100
Cannabis Greenhouses Near Tulsa’s Osage Casino,"109 N Cincinnati Ave, Sperry, OK, 74073",Meilad Rafiei,714-393-3077
Flex Warehouses,"278555 Caddo Rd, Marlow, OK, 73055",Shannon Wells,405-778-3355
Off Market Land Offering- Self Storage / Retail Center,"123 Undisclosed, Tulsa, OK, 74132",David Laney,480-626-0142
PRICE REDUCED TO SELL!! Plaza District Homes,"1700 NW 19th St, Oklahoma City, OK, 73106",Donald Hayes,405-417-5263
Turn-Key Auto Accessory Service Business For Sale,"excellent location in an industrial area of Oklahoma City, Oklahoma City, OK, 73132",Tom Buckley,816-799-0911
Former Shawnee News Star Building,"215 N Bell Ave, Shawnee, OK, 74801",Derek Henley,405-481-9001
Former Seismograph Services Building,"201 S Cheyenne Ave, Tulsa, OK, 74103",Jonathan Belzley,918-899-0198
Successful Peri-Peri Restaurant for Sale,"13925 N May Ave, Oklahoma City, OK, 73134",Sam Hemani,405-586-5220
"Well Established, Turn-key Transmission Repair Business For Sale","Well Established, Turn-key Transmission Repair Business For Sale, Oklahoma City, OK, 73102",Tom Buckley,816-799-0911
32 N. Broadway Circle,"32 N Broadway Cir, Oklahoma City, OK, 73103","Bob Sullivan, CCIM",405-641-9798
Avadon,"2281 36th Ave NW, Norman, OK, 73072",Zach Sikes,405-233-8809
Self-Storage,"Pinyon Rd & 259, Broken Bow, OK, 74728",Melissa Croll,214-929-3388
Grand Apartments,"320 N Grand Ave, Okmulgee, OK, 74447",Melanie Richardson,918-495-1551
10-unit multifamily,"29 S 8th St, Chickasha, OK, 73018",Shari Brunt,405-361-0874
Jenks Ok. A Street lots,"323 W A St, Jenks, OK, 74037",David Momper,918-637-6557
2420-2536 Classen Blvd,"2420-2536 Classen Blvd, Norman, OK, 73071","Judy Hatfield, CCIM",405-640-6167
Extra Space Storage (3rd Party Managed),"708 W Kenosha St, Broken Arrow, OK, 74012","Jared Jones, CCIM",918-948-3941
Vanover Farms 140 Acres,"2125 E Southgate Rd, Enid, OK, 73701",Donald Hayes,405-417-5263
Cyril Storage Units,"Hwy 277 -Storage Units in Cyril, Cyril, OK, 73029",Melissa Busse,580-353-6100
227 S. Philadelphia,"227 S Philadelphia Ave, Shawnee, OK, 74801",Greg Banta,405-840-1600
2307-2315 NW Sheridan and 2012 NW Smith Ave.,"2315 NW Sheridan Rd, Lawton, OK, 73505",Jason Wells,580-353-6100
502 SW Douglas Ave,"502 SW Douglas Ave, Lawton, OK, 73501",Jason Wells,580-353-6100
1115 SW Sheridan Rd,"1115 SW Sheridan Rd, Lawton, OK, 73505",Jason Wells,580-353-6100
104 W Gore Blvd,"104 W Gore Blvd, Lawton, OK, 73501",Jason Wells,580-353-6100
USA Storage Portfolio (4 Properties),"824 W Veterans Memorial Hwy, Blanchard, OK, 73010",Scott Schoettlin,949-400-2709
The Marlin,"3100 Dumas Ln, Oklahoma City, OK, 73119",Kayla Mahoney,860-716-1267
Exclusive Investment Opportunity: 16-Lot Package at Saddle G,"SW 235th Street, Clayton, 74574",Richard Senn,918-600-7509
Lynndale Gardens,"109 S 9th St, Broken Arrow, OK, 74012",Dillon Stoner,918-520-5325
duplex with garage apartment,"602 N Jefferson Ave, Wagoner, OK, 74467",Donny Boyte,405-640-2413
RedBud Villas Duplex Portfolio,"7525 Wild Flower Way, Oklahoma City, OK, 73169",Nicole Mayes,405-209-3992
143 Acres Income Producing Ranch Near Lake Tenkiller,"21312 W Cookson Bend Rd, Cookson, OK, 74427",Angela Thornton,918-315-2486
3131 N May - Retail and Multifamily For Sale!,"3131 N May Ave, Oklahoma City, OK, 73112",Ernie DeBernard,405-401-2129
RedBud Villas Duplexe Portfolio,"7601 WILDFLOWER WAY, OKLAHOMA CITY, OK, 73169",Nicole Mayes,405-209-3992
Bella Vista,"1314 NW Irwin Ave, Lawton, OK, 73507",Mart Martindale,214-545-6917
"LAKE OF THE ARBUCKLE CABINS SULPHUR, OK","4721 Primrose Ln, Sulphur, OK, 73086",Randi Nowlin,+1 580-369-0196
The Vue Apartments,"750 W Imhoff Rd, Norman, OK, 73072","Judy Hatfield, CCIM",405-640-6167
52 Pine Root Court,"52 Pine Root Ct, Broken Bow, OK, 74728",Jeanette Bohanan,580-314-5612
955 Hidden Oaks Trl,"955 Hidden Oaks Trl, Broken Bow, OK, 74728",Jeanette Bohanan,580-314-5612
"Versatile 2-Acre Property with Shop, Utilities, and More!","10880 S 49th West Ave, Sapulpa, 74066",Richard Senn,918-600-7509
"Prime 79+/- Acre Development Opportunity – 1,300+ Feet of I-","4200 East I-35 Frontage Road, Edmond, 73013",Richard Senn,918-600-7509
Development Opportunity with Tenkiller Lake Frontage,"E 855 Rd, Tahlequah, 74464",Richard Senn,918-600-7509
Development or Hunting Opportunity Near Sardis Lake,"29000 State Hwy 43, Clayton, 74536",Richard Senn,918-600-7509
"Buck Creek Ranch - 1273.59 Acres in Daisy, OK","N4090 Rd, Daisy, 74560",Richard Senn,918-600-7509
10.88 Acres + Home & Commercial Business Opportunity - 3 Mil,"4200 W 730 RD, Hulbert, 74441",Richard Senn,918-600-7509
670 Acres with Live Natural Springs,"D4505 Rd, Tahlequah, 74464",Richard Senn,918-600-7509
Residential Build Site or Commerical Opportunity on Hwy 43,"State Hwy 43, Daisy, 74540",Richard Senn,918-600-7509
N.W. OKC Condominiums for sale,"11401 Springhollow Rd, Oklahoma City, OK, 73120",Ed Martin,405-226-7984
Granite Pointe RV Park,"24711 OK-58, Lawton, OK, 73507",Charles Webber,580-678-1769
NW OKC condominiums,"11401 Springhollow Rd, Oklahoma City, OK, 73120",Ed Martin,405-226-7984
"DUPLEX & HOUSE, Tulsa University Area","5504 E 5th Pl, Tulsa, OK, 74112",Jennifer Stein,213-446-5366
Mammoth Luxury Garage Condos - Unit B7,"16571 S Broadway St, Glenpool, OK, 74033",Brian Frere,918-298-6900
Sunshine Self Storage Portfolio,"2400 Classen Blvd, Norman, OK, 73071",Danny Cunningham,817-932-6141
Jackfork Ranch: A Hidden Gem for Visionary Development and O,"Savage Rd, Clayton, 74536",Richard Senn,918-600-7509
"US Highway 62 and Tyler Avenue in Blanchard, OK","700 Veterans Memorial Hwy, Blanchard, OK, 73010",Greg Banta,405-840-1600
Monnett Apartments,"715 Monnett Ave, Norman, OK, 73069",Michael Biddinger,405-236-4747
Commercial Rock Building,"1106 E Washington St, Idabel, OK, 74745",Jeanette Bohanan,580-314-5612
Lincoln Flats,"1402 E Lincoln Ave, Sapulpa, OK, 74066",Melanie Richardson,918-495-1551
"419 S Broadway, Geary, Oklahoma 73040","419 S Broadway, Geary, OK, 73040",Brian Woodward,405-204-3000
Golden West Mobile Home Community,"3203 US-183, Clinton, OK, 73601",Michael Nissley,561-479-1588
The Aldridge,"20 E 9th St, Shawnee, OK, 74801",Todd Franks,214-206-9559
"205 W Idaho Ave., Cyril, Ok","205 W Idaho Ave, Cyril, OK, 73029",Charles Webber,580-678-1769
Commercial Shop and Storage Bldg With Office,"2810 S Hwy 81, Marlow, OK, 73055",Karin Meza Lister Home Team,405-269-0635
Vineyard & Winery on 9.7 Acres – A Rare Opportunity,"488 Rock House Rd, Bennington, OK, 74723",Brent Lyday,580-504-4608
350 Nails. Crossing,"350 Nails Crossing Rd, Caddo, OK, 74729",Debra Portman,580-916-2858
Southeast Oklahoma Laundromat and Retail or Office,"412 N Lawson Blvd, Clayton, OK, 74536",Hannah Null,806-787-0352
King Donut,"109 S Mississippi Ave, Ada, OK, 74820",Kenneth Cypert,580-399-5626
World's Largest Casino Investment Oppurtunity,"Faith Ln, Thackerville, OK, 73459",Laci Littleton-Gomez,580-220-8589
Summit Apartments,"2302 NW 38th St, Lawton, OK, 73505",David Dirkschneider,405-514-0340
The Lodge Apartments,"127 N Duck St, Stillwater, OK, 74075",David Dirkschneider,405-514-0340
Garden Park Apartments,"207 N Hickory St, Sapulpa, OK, 74066",David Dirkschneider,405-514-0340
Bradford North,"800 N Brewer St, Vinita, OK, 74301",Kelli Beisly Minson,918-695-2673
Neighborhood Storage,"335 N Vann St, Vinita, OK, 74301","Jared Jones, CCIM",918-948-3941
Blackburn Ridge,"1401 Blackburn Way,, Seminole, OK, 74848",Ben Davis,918-740-6288
"2400 S Air Depot Blvd - Midwest City, OK","2400 S Air Depot Blvd, Midwest City, OK, 73110",Anderson Inman,405-888-0330
"Pine Valley Apartments | Enid, OK","1011 S 30th St, Enid, OK, 73701",Michael Soleimani,646-809-8833
"Own a Historic 3,500 sq. ft. Building with Endless Potential","102 N Main St, Milburn, OK, 73450",Brent Lyday,580-504-4608
"Two 4,000 SqFt Buildings - Coyle, OK","8201 Centennial Farms Dr, Coyle, OK, 73027",Seth Koenig,434-289-3478
"8,000 SqFt Building - Coyle, OK","12510 E0730 Rd, Coyle, OK, 73027",Seth Koenig,434-289-3478
Okie Mountain Properties LLC,"2131 Sioux Dr, Sulphur, OK, 73086",Kelley Baca,405-527-2222
"711 N Douglas Ave, OKC","711 N Douglas Ave, Oklahoma City, OK, 73106",Kip Cummins,405-276-2727
Flying Hawk Ranch Develompent Land - OKC Airport,"5320 SW 119th St, Oklahoma City, OK, 73173",Jonathan Thompson,405-406-4045
"Exceptional 2 Home, 55-Acre Estate on Highway 70","37001 US-70, Bennington, OK, 74723",Brent Lyday,580-504-4608
"11976 Rogers Rd, Thackerville, OK 73459","11976 Rogers Rd, Thackerville, OK, 73459",Tom Love,No Phone Number Available
"19640 Hwy 77, Thackerville, OK 73459","19640 US-77, Thackerville, OK, 73459",Tom Love,No Phone Number Available
Investment rental properties,"109 S Brown St, Vinita, OK, 74301",Menard Group,918-787-7653
"Bois D'Arc, LLC","1015 W Bois D'Arc Ave, Duncan, OK, 73533",John Ray,702-764-1082
Wolf Pups Daycare,"4379 State Hwy 7, Sulphur, OK, 73086",Randi Nowlin,+1 580-369-0196
Multi-Family-Commerical Building For Sale,"116 S 2nd St, Guthrie, OK, 73044",Rosha Wood,405-239-1219
"Okema Ranch, Okfuskee County","104078 N 3840 Rd, Okemah, OK, 74859",Andrew Popa,918-401-0198
Mutipurpose Building,"2825 Chickasaw Trail, Davis, OK, 73030",Amber Pickett,405-207-3333
"DUPLEX 195-197 N Florence Avenue Tulsa, OK 74110","195 N Florence Ave, Tulsa, OK, 74110",Paloma Jonsson,918-417-2818
Moon's Alley on Main,"123 N Main St, Wagoner, OK, 74467",KIm Davis,918-500-4830
2501 SW E Ave,"2501 SW E Ave, Lawton, OK, 73505",Johnny Owens,580-248-4192
206 NW Dearborn & 215 NW Columbia,"206 NW Dearborn & 215 NW Columbia, Lawton, OK, 73507",Johnny Owens,580-248-4192
"315-321 W Broadway St, Altus OK","315 W Broadway St, Altus, OK, 73521",Clay Johnson,405-276-2727
Insulate warehosue,"301 S Morton Ave, Bartlesville, OK, 74003",Amos Radlinger,918-766-2361
4 Homes plus Shop,"340 S Scott St, Del City, OK, 73115",Kathryn Cusack,405-306-0616
The Mirador,"6220 S Douglas Ave, Oklahoma City, OK, 73139",Alan Larsen,801-608-7349
13 CAP Rental Income,"2317 NW Bell Ave, Lawton, OK, 73505",Randy Ray,580-704-5882
The Hill,"816 W. Nevada St., Chickasha, OK, 73018",Krista Flowers,918-629-3153
116 S Main St,"116 S Main St, Luther, OK, 73054",Johnny Stradal,405-990-0569
512 S 1st Street,"512 S 1st St, Waurika, OK, 73573",Linda Mask,580-248-4192
16 Unit New Construction,"902 Oklahoma Blvd, Alva, OK, 73717",Brenda Hood,580-430-5591
24 NW 53rd Street,"24 NW 53rd St, Lawton, OK, 73505",Randy Ray,580-704-5882
Ten-Penn - Development Opportunity,"1900 NW 10th St, Oklahoma City, OK, 73106",Tripp Cunningham,405-473-9333
4511 SW Lee Blvd,"4511 SW Lee Blvd, Lawton, OK, 73505",Johnny Owens,580-248-4192
3510 SW J Ave,"3510 SW J Ave, Lawton, OK, 73505",Johnny Owens,580-248-4192
1217 SW Sheridan Rd,"1217 SW Sheridan Rd, Lawton, OK, 73505",Johnny Owens,580-248-4192
3019 N Robinson,"3019 N Robinson Ave, Oklahoma City, OK, 73103",Hall Smith,405-293-8255
"The Village Mall-1107 Main St, Woodward, OK","1107 Main St, Woodward, OK  73801, Woodward, OK, 73801",Brian Cook,580-334-2303
The Barn Inn,"5122 State Rte 70E, Durant, OK, 74701",Emily Patterson,580-302-1624
"940 N Ross Avenue, Dewey","940 N Ross Ave, Dewey, OK, 74029",Kim Parker,918-231-2224
722 N Washington,"722 N Washington, Ardmore, OK, 73401",Breanna Love,580-504-2355
Garrett Learning Center,"3305 S 112th E Ave, Tulsa, OK, 74146",Whitney Eidschun,918-721-5416
Moore's Farm Service Center,"602 US-270, Calumet, OK, 73014",Keri Gray,405-590-6028
Duplexes For Sale,"207 Pioneer Way, Foss, OK, 73647",Char Silk,580-450-0697
Storage Units for Sale,"217 HWY 44, Burns Flat, OK, USA, Burns Flat, OK, 73624",Char Silk,580-450-0697
Bargain Barns USA,"10350 US-77, Lexington, OK, 73051",Rhonda Simmons,405-872-7355
Baycrest Apartments,"810 Quail Run Rd, Grove, OK, 74344",Mason Conway,405-531-6272
Short-Term Rental Retreat Grand Lake,"62181 E 247 Loop, Grove, OK, 74344",David Evans,918-787-1045
Clanton's Cafe,"319 E Illinois Ave, Vinita, OK, 74301",Kevin Abbott,918-244-9706
11221 Coachmans Rd,"11221 Coachmans Rd, Yukon, OK, 73099",Paul Brooks,405-990-0548
11221 Coachmans,"11221 Coachmans Rd, Yukon, OK, 73099",Paul Brooks,405-990-0548
"Charming 4-Bedroom, 3-Bath Rental Home in NW Edmond!","2909 Sterling Dr, Edmond, OK, 73012",Jamaal Khaalid,985-465-1841
Surrey Hills duplex,"11223 Coachmans Rd, Yukon, OK, 73099",Paul Brooks,405-990-0548
Mixed package,"11221 Coachmans Rd, Yukon, OK, 73099",Paul Brooks,405-990-0548
A-1 Storage Units,"State Hwy 59 & Seifried, Wayne, OK, 73095",Angie Henry,405-570-1382
Fox Pointe Development Site,"SE 15th Street & S Anderson Road, Choctaw, OK, 73003",William Forrest,405-607-6095
Westgate South,"S MacArthur Blvd & SW 8th Street, Oklahoma City, OK, 73128",William Forrest,405-607-6095
Fox Pointe Multifamily Site - 67 Acres,"SE 15th Street & S Anderson Rd, Choctaw, OK, 73003",William Forrest,405-607-6095
1423Lewis,"1423 N Lewis Ave, Tulsa, OK, 74110",Paloma Jonsson,918-417-2818
102 SW 25th Street,"102 SW 25th St, Lawton, OK, 73505",Phillip Thomas,443-253-7844
"2500 S Main Street Elk City, Oklahoma","2500 S Main St, Elk City, OK, 73644",Stacey Carnes,580-225-3699
Storm Shelter and Septic Tank Manufacturing,"24850 S 640 Rd, Grove, OK, 74344",Garrett Schaede,918-407-9128
Crazy 8 Cafe,"424 W Chickasha Ave, Chickasha, OK, 73018",Jennifer Gilchrest,405-543-0118
Oakside RV Resort,"14 Old US Hwy 270, McAlester, OK, 74501",Shirley Donaldson,No Phone Number Available
403 W Trudgeon Henryetta,"403 W Trudgeon St, Henryetta, OK, 74437",Jill Francis,918-650-8181
Commercial Flex Space,"117 W Grand Ave, Tonkawa, OK, 74653",Steven Byers,405-446-2122
