Building Name,Address,Broker,Broker Phone
Hoodadak Houston,"11191 Westheimer Rd, Houston, TX, 77042",Serene Wong,346-833-8613
Hoodadak Katy,"1645 Winding Hollow Dr, Katy, TX, 77450",Serene Wong,346-833-8613
"Residential Development Opportunity - Graham, TX","1444 4th St, Graham, TX, 76450",Alexander Chapa,469-865-3500
Chaparral House Apartments,"500 S Main Ave, Denver City, TX, 79323",Daniel Chastain,806-577-0293
"3504 Ventura Ave, McAllen, TX 78504","3504 Ventura Ave, McAlllen, TX, 78504",Janet Clement,956-520-2318
4500 Kemp Boulevard,"4500 Kemp Blvd, Wichita Falls, TX, 76308",Kelly Ho-Montoya,940-264-2622
2101 W Harrison Street W,"2101 W Harrison Street W, Weslaco, TX, 78599",Elsa Garcia,956-777-2785
15311 Vantage Parkway,"15311 Vantage Pkwy E, Houston, TX, 77032",Amit Mehta,832-607-1579
"860 W Long #2, Stephenville, Texas 76484","860 W Long, Stephenville, TX, 76401",Sam Byrd,254-987-2248
"1.3 Acres, 5600 SF Improvements, 23K CPD","1815 Parker Rd, Houston, TX, 77093",Montebello Team at R.A. Brokers,713-843-7711
203 W Campeche Avenue,"203 W Campeche Avenue, Alton, TX, 78573",Janet Clement,956-520-2318
La Hacienda Apartments,"203 W Campeche Ave, Alton, TX, 78573",Janet Clement,956-520-2318
24 Unit Self Storage Facility,"18803 RM 1431, Jonestown, TX, 78645",Carl Dieckmann,512-289-2299
201-205 S 1st Avenue,"201-205 S 1st Avenue, Edinburg, TX, 78539",Maggie Harris,956-984-9019
420 Martin Luther King Drive,"420 Martin Luther King Drive, Mexia, TX, 76667",Mitzi Eves,254-744-1692
The Breeze at Oleander,"1845 Oleander, Bolivar Peninsula, TX, 77650",Jessica Paschalis,936-718-2080
1004 W Mahala Avenue,"1004 W Mahala Avenue, Alton, TX, 78573",Maggie Harris,956-984-9019
Portfolio of 2 CRE properties: 179 and 183 Jasmine Lane,"183 Jasmine Ln, San Antonio, TX, 78237",Matthew Driffill,210-862-1192
Portfolio of 2 CRE properties: 179 and 183 Jasmine Lane,"179 Jasmine Ln, San Antonio, TX, 78237",Matthew Driffill,210-862-1192
1335 Milam Street Mexia,"1335 Milam St, Mexia, TX, 76667",Mitzi Eves,254-744-1692
3701 Bella Costa Drive,"3701 Bella Costa Drive, Mercedes, TX, 78570",Bryanna Hernandez,No Phone Number Available
1505 Shavano Drive,"1505 Shavano Drive, Edinburg, TX, 78541",Bryanna Hernandez,No Phone Number Available
1014 Starr Street,"1014 Starr Street, Mercedes, TX, 78570",Bryanna Hernandez,No Phone Number Available
1408 S Yankton Street,"1408 S Yankton Street, Alton, TX, 78573",Bryanna Hernandez,No Phone Number Available
Mix- Use Space South Houston,"412 N 8th St, South Houston, TX, 77587",Kate Myhan,713-855-0588
Central Commercial Investment Property,"2331 Magoffin Ave, El Paso, TX, 79901",Roland Correa,915-328-9992
1795 Trevino Street,"1795 Trevino Street, Rio Grande City, TX, 78582",Hiram Diaz,956-378-7355
200 Huisache Street,"200 Huisache Street, Rio Grande City, TX, 78582",Hiram Diaz,956-378-7355
220 Huisache Street,"220 Huisache Street, Rio Grande City, TX, 78582",Hiram Diaz,956-378-7355
3515 S Dominique Drive,"3515 S Dominque Dr, Pharr, TX, 78577",Patricio Garza,956-878-0768
201 W St. Helena Avenue,"201 W St. Helena Avenue, Edinburg, TX, 78541",Avinaash Buxani,956-949-9337
215 N 6th Street,"215 N 6th Street, Donna, TX, 78537",Cecilia Olivarez,No Phone Number Available
Whittle Way Rental Portfolio,"3203 Whittle Way, Midland, TX, 79707",Kerri Payne James,432-553-7443
Multifamily Property @ Gibson Lane,"6335 Gibson Ln, Texarkana, TX, 75503",Blake Skylar Rogers,903-832-3700
5800 Puffin Avenue,"5800 Puffin Avenue, McAllen, TX, 78504",Mona Kim,No Phone Number Available
Downtown Redevelopment Opportunity,"227 S Beckham Ave, Tyler, TX, 75702",Becky Mccord,903-262-4858
2717 N 32nd Street,"2717 N 32nd Street, McAllen, TX, 78501",Irving Kim,956-520-4573
601 E Ricky Crossland Avenue,"601 E Ricky Crossland Avenue, Elsa, TX, 78543",Jose Luis Garcia,956-968-8900
1504 Prosperity Drive,"1504 Prosperity Drive, Edinburg, TX, 78541",Maria Guerra,956-624-7036
Cline Creek Village,"753 Cline St, Huntsville, TX, 77340","Adam Olsen, CCIM",713-614-2670
1412 Lore Drive,"Lore Dr, Weslaco, TX, 78599",Esteban Sanchez,956-340-4633
9034 (15/16) Glen Shadow,"9034 (15/16) Glen Shadow, San Antonio, TX, 78239",Texas Ally,512-763-2559
Noy's Bistro,"976 Coronado Blvd, Universal City, TX, 78148",Tammara Alarcon,512-748-6847
6928 Third St,"6928 Third St, Canutillo, TX, 79835",Albert Lugo,915-269-1550
Athens Office Suites,"707 N Palestine St, Athens, TX, 75751",Herbert Melton,832-326-0045
114 W Clark Avenue,"114 W Clark Avenue, Pharr, TX, 78577",Myssie Cardenas-Barajas,956-802-0217
13908 Garber Ln,"13908 Garber Ln, Houston, TX, 77015",Joe Tijerina,832-746-0674
Country Lane Mobile Home Park,"1607 George Thomas Rd, Texarkana, TX, 75501",Brian Henry,903-824-0268
1009 W Mahala Avenue,"1009 W Mahala Avenue, Alton, TX, 78573",Cecilia Olivarez,No Phone Number Available
1013 W Mahala Avenue,"1013 W Mahala Avenue, Alton, TX, 78573",Cecilia Olivarez,No Phone Number Available
2818 W Expressway 83,"2818 W Expressway 83, Mercedes, TX, 78572",Aurora Trevino,956-221-0204
30 Acre Development Site in Waco,"1401 Lake Shore Dr, Waco, TX, 76708",Brad Wetzel,254-709-9703
Texas 10,"2001 E 20th St, Hooks, TX, 75561",Brian Henry,903-824-0268
Tract III Concord Hills and Los Presidentes,"Los Presidentes Blvd, Laredo, TX, 78046",Mike Rodriguez,956-286-1926
Boynton Apartments,"501 E Boynton, Hamilton, TX, 76531",Andrew Neumann,925-999-5135
Hondo & D'Hanis Income Investments,"3002 Avenue E, Hondo, TX, 78861","Harold ""Butch"" Galm",830-931-0900
1031 1033 & 1035 West 17th St,"1031 W 17th St, Houston, TX, 77008",Glenn Dickerson,281-477-4384
Sunterra Estates Fourplexes,"2904 E Israel Ave, Alton, TX, 78573",Janet Clement,956-520-2318
Moran Ranch Commercial Reserves,"Interstate 45 & FM-1097, Willis, TX, 77378",Clay Graham,713-826-8313
10 ACRE Retail Development. Multiple Pad Sites. 60k+ VPD,"1250 W Green Oaks Blvd, Arlington, TX, 76013",Jared Westmoreland,972-841-2417
1903 Cari Nicole Avenue,"1903 Cari Nicole Avenue, Edinburg, TX, 78541","Grizelda ""Grace"" Montalvo",956-540-7337
Tract IV Concord Hills and Los Presidentes,"Concord Hills and Los Presidentes Blvd, Laredo, TX, 78046",Mike Rodriguez,956-286-1926
4710 W Illinois Ave,"4710 W Illinois Ave, Dallas, TX, 75211",Scott Smith,214-720-3663
Land in Multi Property Auction in Texas,"Co Rd 413, Crowell, TX, 79227",Shawn Terrel,816-945-7741
1634 Playa Drive,"1634 Playa Drive, Weslaco, TX, 78596",Dean Chan,956-827-1415
Graham Street Duplexes,"5404 Graham St, Fort Worth, TX, 76114",Link Karlen,817-996-6200
201 San Antonio St,"201 San Antonio St, Camp Wood, TX, 78833",Linda Koehl,830-591-4430
Kung Fu Tea,"3518 Palmer Hwy, Texas City, TX, 77590",Dan King,713-876-2550
143 Huntington,"143 Huntington St, San Antonio, TX, 78207",Ricardo Pena,210-781-3777
NEC I-45 & Patton Street,"2700 & 2770 North Freeway, Houston, TX, 77009",Joshua Sebesta,713-298-1341
2717 N 32nd Street,"2717 N 32nd Street, McAllen, TX, 78501",Irving Kim,956-520-4573
1009 W Mahala Avenue,"1009 W Mahala Avenue, Alton, TX, 78573",Cecilia Olivarez,No Phone Number Available
"Residential Development Opportunity - Graham, TX","1444 4th St, Graham, TX, 76450",Alexander Chapa,469-865-3500
2213 W 34th St,"2213 W 34th St, Houston, TX, 77018",Kyle Fischer,281-627-0834
2300 Stone Hollow Drive,"2300 Stone Hollow Dr, Brenham, TX, 77833",Colt Haack,281-330-0994
Residential Investment Opportunity | Castroville TX,"116 River Knoll, Castroville, TX, 78009","Harold ""Butch"" Galm",830-931-0900
0 N Mike Chapa Avenue,"900 Mike Chapa Ave, La Villa, TX, 78562",Diana Martinez-Moon,956-456-6103
Reagan Apartments,"113 S Reagan St, Hamilton, TX, 76531",Andrew Neumann,925-999-5135
La Hacienda Apartments,"203 W Campeche Ave, Alton, TX, 78573",Janet Clement,956-520-2318
1400 Beverly Avenue,"1400 Beverly Avenue, Weslaco, TX, 78596",Bryanna Hernandez,No Phone Number Available
Bombshells San Antonio,"8410 TX-151, San Antonio, TX, 78245",Ash Noorani,832-455-6486
3517 S Dominique Drive,"3517 S Dominique Drive, Pharr, TX, 78577",Patricio Garza,956-878-0768
911 13th Street,"911 13th Street, Alamo, TX, 78589",Mario Baez,956-827-0170
2809 Alpha Road,"2809 Alpha Road, Weslaco, TX, 78596",Jose Luis Garcia,956-968-8900
Central Commercial Investment Property,"2331 Magoffin Ave, El Paso, TX, 79901",Roland Correa,915-328-9992
"Colonial Apartments (10 units) - Plainview, TX","1205-1207 Raleigh St, Plainview, TX, 79072",David Kopp,806-293-4413
601 La Mancha Drive E,"601 La Mancha Drive E, Edinburg, TX, 78541",Myssie Cardenas-Barajas,956-802-0217
Tall Timbers RV Park,"16614 Echo Glen Dr, Tyler, TX, 75703",Kaitlyn Sogga,214-725-3955
1308 Yankton Street,"1308 Yankton Street, Alton, TX, 78573",Bryanna Hernandez,No Phone Number Available
Sinton IOS Facility,"475 Stamy St, Sinton, TX, 78387",Robert Cooper,361-980-6016
Traditional African Food Restaurant,"11214 Plainfield St, Houston, TX, 77031",Serene Wong,346-833-8613
1224 Avenue H,"1224 Avenue H, Bay City, TX, 77414",Cynthia Corder,409-795-1269
"All-N RV Park Pecos, Texas","837 Co Rd 411, Pecos, TX, 79772",Derrick Garnett,325-895-0746
1435 Fm 1463 #B10,"1435 FM 1463 #B10, Katy, TX, 77494",Evan Hitch,281-900-9018
1904 Jackson Street,"1904 Jackson Street, Weslaco, TX, 78599",Jose Luis Garcia,956-968-8900
2204 E Cynthia Street,"2204 E Cynthia Street, Edinburg, TX, 78542",Bryanna Hernandez,No Phone Number Available
105 Lauryn Drive,"105 Lauryn Drive, San Juan, TX, 78589",Janet Clement,956-520-2318
Classic Novelties,"9305 Harwin Dr., Houston, TX, 77036",Serene Wong,346-833-8613
Fall Creek Square,"15116 Mesa Dr, Humble, TX, 77396",GREA Houston Brokerage,713-587-9606
Turtle Creek Duplex Portfolio,"1000 Sparrow Cove, Troy, TX, 76579",Bobby Spradley,254-771-5111
Drunken Boat,"12116 Westheimer Rd, Houston, TX, 77077",Serene Wong,346-833-8613
400 Leopard,"400 Leopard Ave, Livingston, TX, 77351",Bob Burkhalter,936-328-7077
16608 Garrett Road,"Garrett Rd, Houston, TX, 77044",Bruce Ham,832-271-7001
Thomas BBQ established restaurant FOR SALE,"5594 North Fwy, Houston, TX, 77076",Pearl Ngo,832-877-0022
4500 Kemp Boulevard,"4500 Kemp Blvd, Wichita Falls, TX, 76308",Kelly Ho-Montoya,940-264-2622
Baylor Student Housing,"1520 Bagby Ave, Waco, TX, 76706",Alexander Chapa,469-865-3500
3034 W Salinas,"3034 West Salinas, San Antonio, TX, 78207",Ricardo Pena,210-781-3777
"3185 Lamar Avenue Paris, TX 75460","3185 LAMAR AVENUE, Paris, 75460",Bryan Glass,903-517-5889
Historic Bob Evans Hotel,"210 E Blackjack St, Dublin, TX, 76446",Eric Hayden,254-485-2615
The Little Store,"17714 County Rd 463, Brazoria, TX, 77422",Kim Beebe,979-236-2628
909 Skyview Street,"909 Skyview Street, Weslaco, TX, 78599",Mario Baez,956-827-0170
"4112-4112 Junius St, Dallas, TX | 100% Occupied 4-Plex","4114 Junius St, Dallas, TX, 75246",Ross Miller,972-772-6025
138 County Road 191,"138 County Road 191, Gary, TX, 75643",Jeff George,281-336-3121
West Palm Townhouse,"919 Bluewater Hwy, Surfside Beach, TX, 77541",Suzan Zachariah,832-419-2878
+/- 9.55 Acres of Land On Interstate 45 Frontage,"0 North Fwy, Houston, TX, 77090",Flavio Beato,832-727-4475
Texas City 3-Unit Multifamily,"2521 Texas Ave, Texas City, TX, 77590",Cynthia Corder,409-795-1269
1408 S Yankton Street,"1408 S Yankton Street, Alton, TX, 78573",Bryanna Hernandez,No Phone Number Available
UFC Gym The Heights An Elite Gym in Houston,"W 20th St, Houston, TX, 77008",Harold McGee,512-626-6470
1008 W La Pointe Avenue W,"1008 W La Pointe Avenue W, Alton, TX, 78573",ZINTIHA LOYA,956-536-9270
1701 El Camino Drive,"1701 El Camino Drive, Weslaco, TX, 78596",Jaime Lee Gonzalez,956-599-8400
Sunset Grove,"2801 W Sunset Dr, Orange, TX, 77630",Lucas Fertitta,713-301-1154
Waters at Westchase,"11490 Harwin Dr., Houston, TX, 77072",GREA Houston Brokerage,713-587-9606
1105 W La Pointe Avenue,"1105 W La Pointe Avenue, Alton, TX, 78573",Myra Caridad García,956-648-6456
GROUND LEASE AVIALBLE FOR NEW DEVELOPMENT/PROJECT,"9791 Forest Ln, Dallas, TX, 75243",MOHAMMED KHANANI,469-602-2321
Firefly Resorts,"5386 Farm to Market 1376 #65, Fredericksburg, TX, 78624",Adam Carroll,830-307-8679
1309 Keats,"1309 Keats St, San Antonio, TX, 78211",Dominique Jimenez,No Phone Number Available
Sharyland Manor Apartments,"5805 Puffin Ave, Palmhurst, TX, 78573",Telma Lopez,956-755-9560
2701 Breedlove St.,"2701 Breedlove St., Harlingen, TX, 78550",Jose Luis Garcia,956-968-8900
1613 N Molino Drive,"1613 N Molino Drive, Edinburg, TX, 78541",Bryanna Hernandez,No Phone Number Available
"1425 S Church Street & 1810 N Main Street Paris, TX 75460","1425 S CHURCH, Paris, 75460",Bryan Glass,903-517-5889
The Court at Oak Forest,"4102 Mangum Rd, Houston, TX, 77092",Lucas Fertitta,713-301-1154
Noy's Bistro,"976 Coronado Blvd, Universal City, TX, 78148",Tammara Alarcon,512-748-6847
Multi Family-Duplex,"7315 Housman, Houston, TX, 77055",Pearl Ngo,832-877-0022
Lot 324 N Bentsen Palm Drive,"Lot 324 N Bentsen Palm Drive, Mission, TX, 78574",Maria Guerra,956-624-7036
Takara Sushi & Steak House,"325 S Brazosport Blvd, Freeport, TX, 77541",Serene Wong,346-833-8613
1321 S Michigan Street,"1321 S Michigan Street, Alton, TX, 78573",Aurora Trevino,956-221-0204
1408 Marcela Drive,"1408 Marcela Dr, Weslaco, TX, 78599",Fernando Pacheco,956-212-1095
9206 N 56th Lane,"9206 N 56th Lane, McAllen, TX, 78504",Maggie Harris,956-984-9019
Swimming Pool Construction Southern Texas,"Swimming Pool Construction New and Remodels Servicing Southern Texas, Brownsville, TX, 78520",Gary Battaglia,816-349-1145
2.4-Acres - Kingsville Infill,"714 E Ailsie Ave, Kingsville, TX, 78363",Steven Saules,361-905-5000
Southwest Quadrant of Teasley Ln & Hickory Creek Rd,"Southwest Quadrant of Teasley Ln & Hickory Creek Rd, Denton, TX, 76210",John Turner,713-261-0516
5825 Westside Dr,"5825 Westside Dr, El Paso, TX, 79932",Sergio Tinajero,915-422-2242
802 W Jackson Street,"802 W Jackson St, El Campo, TX, 77437",Kacy Bain,979-541-7096
"Tyler, TX Development Opportunity","3304 Van Hwy, Tyler, TX, 75702",Patrick Kidder,727-219-2004
12 W Defee Channelview,"12 W Defee St, Baytown, TX, 77520",Jay Shaw,832-859-3893
CrossFit Manifest,"8001 McHard Rd, Houston, TX, 77053",Rosaura Arango,832-901-9640
503 N University Ave,"503 N University Ave, Lubbock, TX, 79415",Jack Chapman SIOR CCIM,806-789-8257
0 N Pope Street,"0 N Pope Street, Rio Grande City, TX, 78582",Hiram Diaz,956-378-7355
New Construction Fully Leased Four-Plex!,"2713 E Israel Ave, Alton, TX, 78573",Cesar Felix,956-648-2918
1229 Country Club Drive,"1229 Country Club Drive, Alamo, TX, 78589",Bryanna Hernandez,No Phone Number Available
Lubbock SFR Package of 4 Homes,"9706 Weatherford Ave, Lubbock, TX, 79423",Doug Duncan,806-577-5595
217 Redwater Boulevard West,"217 Redwater Blvd W, Maud, TX, 75567",Steven Harvey,903-793-2666
11.0-Acres Land - Kingsville,"US-77 BUS, Kingsville, TX, 78363",Steven Saules,361-905-5000
"820 N Jefferson St, La Grange","820 N Jefferson St, La Grange, 78945",Chip Bubela,979-743-4555
2904 E Israel Avenue,"2904 E Israel Avenue, Alton, TX, 78573",Janet Clement,956-520-2318
218 W. Broad St,"218 W Broad St, Freeport, TX, 77541",RYAN BIRDSONG,979-292-6205
Downtown Redevelopment Opportunity,"227 S Beckham Ave, Tyler, TX, 75702",Becky Mccord,903-262-4858
1909 Monaco Drive,"1909 Monaco Drive, San Juan, TX, 78589",Bryanna Hernandez,No Phone Number Available
MOBILE PARK - MULTIFAMILY - 241 Chauvin Place El Paso 79928,"241 Chauvin Pl, El Paso, TX, 79928",Aroma Zidan,424-230-4207
233 W Watts Avenue,"233 W Watts Avenue, Progreso, TX, 78579",Adolfo Landa,956-451-1152
22.35 King Street,"22.35 King Street, Raymondville, TX, 78580",ZINTIHA LOYA,956-536-9270
15454 Paradise Point,"15454 Paradise Point Dr, Willis, TX, 77318",Evan Ballew,936-290-0206
3404 Ventura Avenue,"3404 Ventura Avenue, McAllen, TX, 78504",Bryanna Hernandez,No Phone Number Available
Commercial Building on 1AC in Brazoria/Unrestricted,"3922 County Rd 353, Brazoria, TX, 77422",Kate Myhan,713-855-0588
The Breeze at Oleander,"1845 Oleander, Bolivar Peninsula, TX, 77650",Jessica Paschalis,936-718-2080
1113 Shasta Avenue,"1113 Shasta Avenue, McAllen, TX, 78504",Karen Williams,956-648-8851
"Camp Verde RV Park - Austin, TX","W U.S. Hwy 290, Carmine, TX, 78932",Max Freedman,512-766-2711
1008 W La Pointe Avenue W,"1008 W La Pointe Avenue W, Alton, TX, 78573",ZINTIHA LOYA,956-536-9270
8501 Carmen Avila Road,"8501 Carmen Avila Road, Edinburg, TX, 78542",misael Blanco,956-328-2167
Druid St,"3110 Druid street, HOUSTON, TX, 77091",MARK NOOR,832-961-7777
TBD 2nd Street (22 Units),"TBD 2nd Street, Kaufman, TX, 75142",Melanie White-Fisher,972-955-2735
S Olive,"432 S Olive St, San Antonio, TX, 78203",Sterling Williams,210-569-9008
Mexican Restaurant for Sale in Rowlett,"6501 Dalrock Rd, Rowlett, TX, 75089",Renae Anderson,972-974-7419
City View Inn & Suites - 1306 E Commerce St & Cherry,"1306 E Commerce St, San Antonio, TX, 78205",SanJay Jawanda,210-316-0344
7006 N 56th Lane,"7006 N 56th Lane, Mission, TX, 78573",Stephanie Norman,956-807-8748
"Hwy 87 and NW 5th Street, Tulia, TX","87 NW 5th St, Tulia, TX, 79088",Bryan McMurrey,512-314-3971
2109 Cassandra Street,"2109 Cassandra Street, Mission, TX, 78572",Bryanna Hernandez,No Phone Number Available
Dunpling Dumpling & Noodle,"11407 Spring Cypress Rd, Tomball, TX, 77377",Serene Wong,346-833-8613
2804 W Mile 7 Road,"2804 W Mile 7 Road, Mission, TX, 78574",Israel Silva,No Phone Number Available
Fourplex - 412 S. Retama Ln.,"412 Retama Ln, Weslaco, TX, 78596","Sergio A. Adame, CCIM",956-412-1412
3609 Valeria Street,"3609 Valeria Street, Edinburg, TX, 78541",Cesar Cepeda,956-821-3765
1626 Playa Drive,"1626 Playa Drive, Weslaco, TX, 78596",Jaime Lee Gonzalez,956-599-8400
Watson & Taylor Self Storage North Austin,"11712 N Lamar Blvd, Austin, TX, 78753",Bill Bellomy,832-623-1690
5.4-Acres - Kingsville Land,"710 E General Cavazos Blvd, Kingsville, TX, 78363",Steven Saules,361-905-5000
Prime Gas Station For Sale - High Traffic Location,"Gainesville, TX 76240, Gainesville, TX, 76240",Tony Preston,602-675-5727
2611 E Eisenhower Avenue,"2611 E Eisenhower Avenue, Mission, TX, 78573",Hector Guerra,956-605-6200
00 Brown Street,"00 Brown Street, Weslaco, TX, 78570",Cecilia Olivarez,No Phone Number Available
902 Kansas Ave,"902 Kansas Ave, Mercedes, TX, 78570",Bryanna Hernandez,No Phone Number Available
1421 N 21st Street,"1421 N 21st Street, McAllen, TX, 78501",Adolfo Landa,956-451-1152
215 N 6th Street,"215 N 6th Street, Donna, TX, 78537",Cecilia Olivarez,No Phone Number Available
HOLMES DUKE HOUSE,"694 Forrest St, Beaumont, TX, 77701",Tyler Wharton,409-998-9510
114 W Clark Avenue,"114 W Clark Avenue, Pharr, TX, 78577",Myssie Cardenas-Barajas,956-802-0217
Verandas of Beaumont,"2020 Cottonwood Ave, Beaumont, TX, 77703",Nico Bianchi,214-726-5175
West Pike,"West Pike, Weslaco, TX, 78596",Dominique Jimenez,No Phone Number Available
Salon for Sale in Prime Baytown - Tune-Up Manly Salon,"6300 Garth Rd, Baytown, TX, 77521",Jeri Blake,832-326-0097
2 Duplex for Sale,"1408 Edward Dr, South Houston, TX, 77587",Teresa Martinez,832-731-3158
Crystal Nails,"5405 Hwy 6, Missouri City, TX, 77459",Serene Wong,346-833-8613
"Mechanic Shop | HWY 82 Frontage | DeKalb, TX","10638 US-82, De Kalb, TX, 75559",Renee Harvey,No Phone Number Available
Crescent Duplexes,"1226 Bagby Ave, Waco, TX, 76706",Coleton Burch,469-629-7389
"Mixed-Use Site Available, San Juan, TX","1006 Carroll Rd, San Juan, TX, 78589",Telma Lopez,956-755-9560
Industrial Machine Shop in Texas,"Grange St, Liberty Hill, TX, 78642",Harold McGee,512-626-6470
Infill Heavy Manufacturing Facility on 5.83 Acres,"1430 Vanderbilt Drive, El Paso, TX, 79935",Brett Preston,915-843-8888
105 N Rose Street,"105 N Rose Street, Harlingen, TX, 78550",Mario Baez,956-827-0170
Profitable Japanese Resto w/ Wok Station & Liquor License,"8700 Hwy 6, Missouri City, TX, 77459",Serene Wong,346-833-8613
Mins from SHSU-3.4 Ac.–Ideal Multi-Family/Mobile Home Site!,"687 Cline St, Huntsville, TX, 77340","Adam Olsen, CCIM",713-614-2670
Abilene 4.44 Acre Self Storage Build Site,"6600 Buffalo Gap Rd, Abilene, TX, 79606",Dale Scoggins,325-691-1856
HOUSTON LUXURY DUPLEX FOR SALE | LOW PRICE,"3004 Bolt St, Houston, TX, 77051",ADEWALE LAWAL,832-776-9582
420 Martin Luther King Drive,"420 Martin Luther King Drive, Mexia, TX, 76667",Mitzi Eves,254-744-1692
The Snyder Portfolio,"3901 Avenue O, Snyder, TX, 79549",Garrett Kinney,469-969-9336
Portfolio of 2 CRE properties: 179 and 183 Jasmine Lane,"179 Jasmine Ln, San Antonio, TX, 78237",Matthew Driffill,210-862-1192
5812 Ozark Avenue,"5812 Ozark Avenue, McAllen, TX, 78504",Jaime Lee Gonzalez,956-599-8400
5600 Sandpiper Avenue,"5600 Sandpiper Avenue, McAllen, TX, 78504",Janet Clement,956-520-2318
La Feria Multifamily Property,"13973 Pomegranite Lane, La Feria, TX, 78559",Marcus Phipps,956-423-5300
4809 Fuqua Street,"4809 Fuqua St, Houston, TX, 77048",Bruce Ham,832-271-7001
3304 N Palm Leaf Circle,"3304 N Palm Leaf Circle, Mission, TX, 78574",Cecilia Olivarez,No Phone Number Available
Angleton 36-Unit Mini Self-Storage on ~1 Acre by 288 Bus.,"2600 Shanks Rd, Angleton, TX, 77515",Elgin Wells,713-882-3195
507 Pirul Street,"507 Pirul Street, Edinburg, TX, 78541",Jaime Lee Gonzalez,956-599-8400
"3504 Ventura Ave, McAllen, TX 78504","3504 Ventura Ave, McAlllen, TX, 78504",Janet Clement,956-520-2318
1335 Milam Street Mexia,"1335 Milam St, Mexia, TX, 76667",Mitzi Eves,254-744-1692
1805 Monaco Drive,"1805 Monaco Drive, San Juan, TX, 78589",Bryanna Hernandez,No Phone Number Available
1907 Cari Nicole Avenue,"1907 Cari Nicole Avenue, Edinburg, TX, 78541","Grizelda ""Grace"" Montalvo",956-540-7337
MULTI-TENANT WAREHOUSE WITH 4-RESIDENTIAL UNITS,"8019 Richards St, Houston, TX, 77029",Tim Larson,281-508-0800
The Villas at Chandler Creek,"2105 Tiger Trail, Round Rock, TX, 78664",Frances Crossley,512-751-0004
"*FIRE SALE* Smoke Shop Portfolio, Texas, USA","Smoke Shop, Terrell, TX, 73301",Skylar Adams,813-280-5468
17002 Butte Creek Rd / Office / Mixed Use For Sale,"17002 Butte Creek Rd, Houston, TX, 77090",Steven Gomez,713-305-2404
Mix- Use Space South Houston,"412 N 8th St, South Houston, TX, 77587",Kate Myhan,713-855-0588
905 Pleasant View Drive,"905 Pleasant View Drive, Weslaco, TX, 78599",Tanya Chapa,No Phone Number Available
4110 Hopper Road,"4110 Hopper Rd, Houston, TX, 77093",Matthew Guzman,281-869-6100
"+/- 2.20 Acres of Land On Interstate 45 Frontage, Tract 2","0 North Fwy, Houston, TX, 77090",Flavio Beato,832-727-4475
4.89+ Ac Hwy 59,"US-59, Splendora, TX, 77372",Anne Vickery,281-940-7253
Cline Creek Village,"753 Cline St, Huntsville, TX, 77340","Adam Olsen, CCIM",713-614-2670
0 N 83rd Street,"0 N 83rd Street, Edinburg, TX, 78542",Myra Caridad García,956-648-6456
Crystal Water,"8200 Wilcrest Dr. Unit 7, Houston, TX, 77072",Dan King,713-876-2550
803 N Main St.,"803 N Main St, Highlands, TX, 77562",Bo Faber,281-908-3122
1.5 Acres of land in Pasadena TX,"316 W Marvick Dr, Pasadena, TX, 77506",Juan Ramos,713-480-2440
Summit Storage,"3166 Summit Dr, Port Neches, TX, 77651",Tyler Peterson,913-515-7652
801 & 803 Main,"101 W Water St, Victoria, TX, 77901",Brian Ferguson,361-218-7653
19910 Angus Road Unit A & B,"19910 Angus Rd, Crosby, TX, 77532",Daniel Loria,832-984-5824
$10K TO BUYER!! 100% Leased New Construction 4-Plex,"2709 E Israel Ave, Alton, TX, 78573",Cesar Felix,956-648-2918
Luxury Storage Warehouse,"4115 Kreinhop Rd, Spring, TX, 77388",Andy Lynch,713-471-6570
Remodeled Central Multi-Family Investment,"1407 Arizona Ave, El Paso, TX, 79902",Roland Correa,915-328-9992
819 Pleasant View Drive,"819 Pleasant View Drive, Weslaco, TX, 78599",Tanya Chapa,No Phone Number Available
1801 Monaco Drive,"1801 Monaco Drive, San Juan, TX, 78589",Bryanna Hernandez,No Phone Number Available
Portfolio of 2 CRE properties: 179 and 183 Jasmine Lane,"183 Jasmine Ln, San Antonio, TX, 78237",Matthew Driffill,210-862-1192
1804 Mansfield St - 1-Acre Development Lot in Houston,"1804 Mansfield St, Houston, TX, 77091",Jeri Blake,832-326-0097
1609 W Cortlandt Street,"1609 W Cortlandt Street, Edinburg, TX, 78541",Janet Clement,956-520-2318
Prime Commercial Opportunity!,"114 E Post Office St, Weimar, 78962",Chip Bubela,979-743-4555
1202 Upas Drive,"1202 Upas Drive, Edinburg, TX, 78541",Janet Clement,956-520-2318
1020 Burnett Blvd,"1020 Burnett Blvd, Alvarado, TX, 76009",Jamie Wickliffe,214-676-2896
East Powell Duplex,"1716 E Powell Ave, Fort Worth, TX, 76104",Steve Olson,801-362-3392
Townhomes on Three,"15240 Galveston Rd, Webster, TX, 77598",GREA Houston Brokerage,713-587-9606
Tortilleria Santana,"1801 Lyle Ave, Waco, TX, 76708",Blaire Mooney,254-717-3272
0 FM 493,"0 FM 493, Edcouch, TX, 78538",Mario Baez,956-827-0170
509 Sparrow Road,"Sparrow Rd, Weslaco, TX, 78596",Janet Clement,956-520-2318
Snyder Apartments,"500 28th St, Snyder, TX, 79549",Andrew Neumann,925-999-5135
